Item	Scale	Content
PO1	disagree5	Personer i høyere posisjoner bør ta de fleste beslutninger uten å rådføre seg med personer i lavere posisjoner.
PO2	disagree5	Personer i høyere posisjoner bør ikke for ofte spørre personer i lavere posisjoner om deres mening.
PO3	disagree5	Personer i høyere posisjoner bør unngå sosial omgang med personer i lavere posisjoner.
PO4	disagree5	Personer i lavere posisjoner bør ikke være uenige i beslutninger tatt av personer i høyere posisjoner.
PO5	disagree5	Personer i høyere posisjoner bør ikke delegere viktige oppgaver til personer i lavere posisjoner.
UN1	disagree5	Det er viktig at instruksjoner er beskrevet i detalj, slik at jeg alltid vet hva som forventes av meg.
UN2	disagree5	Det er viktig å følge instruksjoner og prosedyrer nøye.
UN3	disagree5	Regler og forskrifter er viktige fordi de forteller meg hva som forventes av meg.
UN4	disagree5	Standardiserte arbeidsprosedyrer er nyttige.
UN5	disagree5	Instruksjoner for arbeidsoppgaver er viktige.
CO1	disagree5	Individer bør ofre egeninteresse for gruppens skyld.
CO2	disagree5	Individer bør bli i gruppen selv når det oppstår vanskeligheter.
CO3	disagree5	Gruppens vel er viktigere enn individuelle belønninger.
CO4	disagree5	Gruppens suksess er viktigere enn individuell suksess.
CO5	disagree5	Individer bør først forfølge sine mål etter å ha tatt hensyn til gruppens vel.
CO6	disagree5	Gruppelojalitet bør oppmuntres selv om individuelle mål lider under det.
LT1	important5	Nøye forvaltning av penger (Sparsommelighet)
LT2	important5	Å fortsette besluttsomt tross motstand (Vedholdenhet)
LT3	important5	Personlig standhaftighet og stabilitet
LT4	important5	Langsiktig planlegging
LT5	important5	Å gi avkall på dagens fornøyelser for suksess i fremtiden
LT6	important5	Å arbeide hardt for suksess i fremtiden
MA1	disagree5	Det er viktigere for menn å ha en profesjonell karriere enn det er for kvinner.
MA2	disagree5	Menn løser vanligvis problemer med logisk analyse; kvinner løser vanligvis problemer med intuisjon.
MA3	disagree5	Å løse vanskelige problemer krever vanligvis en aktiv, kraftfull tilnærming, som er typisk for menn.
MA4	disagree5	Det finnes noen oppgaver som en mann alltid kan utføre bedre enn en kvinne.
