Item	Scale	Content
PO1	disagree5	Persoanele aflate în poziții superioare ar trebui să ia majoritatea deciziilor fără a consulta persoanele aflate în poziții inferioare.
PO2	disagree5	Persoanele aflate în poziții superioare nu ar trebui să ceară prea des părerea persoanelor aflate în poziții inferioare.
PO3	disagree5	Persoanele aflate în poziții superioare ar trebui să evite interacțiunea socială cu persoanele aflate în poziții inferioare.
PO4	disagree5	Persoanele aflate în poziții inferioare nu ar trebui să își exprime dezacordul față de deciziile persoanelor aflate în poziții superioare.
PO5	disagree5	Persoanele aflate în poziții superioare nu ar trebui să delege sarcini importante persoanelor aflate în poziții inferioare.
UN1	disagree5	Este important ca instrucțiunile să fie formulate în detaliu, astfel încât să știu întotdeauna ce se așteaptă de la mine.
UN2	disagree5	Este important să se urmeze îndeaproape instrucțiunile și procedurile.
UN3	disagree5	Regulile și reglementările sunt importante pentru că mă informează cu privire la ceea ce se așteaptă de la mine.
UN4	disagree5	Procedurile de lucru standardizate sunt utile.
UN5	disagree5	Instrucțiunile pentru operațiuni sunt importante.
CO1	disagree5	Indivizii ar trebui să își sacrifice interesul propriu în favoarea grupului.
CO2	disagree5	Indivizii ar trebui să rămână alături de grup chiar și în momentele dificile.
CO3	disagree5	Bunăstarea grupului este mai importantă decât recompensele individuale.
CO4	disagree5	Succesul grupului este mai important decât succesul individual.
CO5	disagree5	Indivizii ar trebui să își urmărească obiectivele doar după ce iau în considerare bunăstarea grupului.
CO6	disagree5	Loialitatea față de grup ar trebui încurajată chiar dacă obiectivele individuale au de suferit.
LT1	important5	Gestionarea atentă a banilor (Cumpătare)
LT2	important5	A merge înainte cu hotărâre în ciuda opoziției (Perseverență)
LT3	important5	Statornicie și stabilitate personale
LT4	important5	Planificare pe termen lung
LT5	important5	A renunța la distracțiile de azi pentru succesul viitor
LT6	important5	A munci din greu pentru succesul viitor
MA1	disagree5	Este mai important pentru bărbați să aibă o carieră profesională decât pentru femei.
MA2	disagree5	Bărbații rezolvă de obicei problemele prin analiză logică; femeile rezolvă de obicei problemele prin intuiție.
MA3	disagree5	Rezolvarea problemelor dificile necesită de obicei o abordare activă și energică, tipică bărbaților.
MA4	disagree5	Există unele activități pe care un bărbat le poate face întotdeauna mai bine decât o femeie.
