Item	Scale	Content
PO1	disagree5	Les personnes occupant des positions supérieures devraient prendre la plupart des décisions sans consulter les personnes occupant des positions inférieures.
PO2	disagree5	Les personnes occupant des positions supérieures ne devraient pas demander trop souvent l'avis des personnes occupant des positions inférieures.
PO3	disagree5	Les personnes occupant des positions supérieures devraient éviter toute interaction sociale avec les personnes occupant des positions inférieures.
PO4	disagree5	Les personnes occupant des positions inférieures ne devraient pas contester les décisions des personnes occupant des positions supérieures.
PO5	disagree5	Les personnes occupant des positions supérieures ne devraient pas déléguer de tâches importantes aux personnes occupant des positions inférieures.
UN1	disagree5	Il est important que les instructions soient détaillées afin que je sache toujours ce que l'on attend de moi.
UN2	disagree5	Il est important de suivre de près les instructions et les procédures.
UN3	disagree5	Les règles et les règlements sont importants parce qu'ils m'informent de ce que l'on attend de moi.
UN4	disagree5	Les procédures de travail standardisées sont utiles.
UN5	disagree5	Les instructions relatives aux opérations sont importantes.
CO1	disagree5	Les individus devraient sacrifier leur intérêt personnel au profit du groupe.
CO2	disagree5	Les individus devraient rester solidaires du groupe même dans les difficultés.
CO3	disagree5	Le bien-être du groupe est plus important que les récompenses individuelles.
CO4	disagree5	La réussite du groupe est plus importante que la réussite individuelle.
CO5	disagree5	Les individus ne devraient poursuivre leurs objectifs qu'après avoir pris en compte le bien-être du groupe.
CO6	disagree5	La loyauté envers le groupe devrait être encouragée même si les objectifs individuels en pâtissent.
LT1	important5	Gestion soigneuse de l'argent (Épargne)
LT2	important5	Continuer résolument malgré l'opposition (Persévérance)
LT3	important5	Constance et stabilité personnelles
LT4	important5	Planification à long terme
LT5	important5	Renoncer aux plaisirs d'aujourd'hui pour la réussite future
LT6	important5	Travailler dur pour la réussite future
MA1	disagree5	Il est plus important pour les hommes d'avoir une carrière professionnelle que pour les femmes.
MA2	disagree5	Les hommes résolvent généralement les problèmes par l'analyse logique ; les femmes résolvent généralement les problèmes par l'intuition.
MA3	disagree5	Résoudre des problèmes difficiles exige généralement une approche active et énergique, typique des hommes.
MA4	disagree5	Il y a certains métiers qu'un homme fera toujours mieux qu'une femme.
