Item	Scale	Content
PO1	disagree5	اعلیٰ عہدوں پر فائز لوگوں کو زیادہ تر فیصلے نچلے عہدوں پر فائز لوگوں سے مشورہ کیے بغیر کرنے چاہئیں۔
PO2	disagree5	اعلیٰ عہدوں پر فائز لوگوں کو نچلے عہدوں پر فائز لوگوں کی رائے بہت کثرت سے نہیں پوچھنی چاہیے۔
PO3	disagree5	اعلیٰ عہدوں پر فائز لوگوں کو نچلے عہدوں پر فائز لوگوں کے ساتھ سماجی میل جول سے گریز کرنا چاہیے۔
PO4	disagree5	نچلے عہدوں پر فائز لوگوں کو اعلیٰ عہدوں پر فائز لوگوں کے فیصلوں سے اختلاف نہیں کرنا چاہیے۔
PO5	disagree5	اعلیٰ عہدوں پر فائز لوگوں کو اہم کام نچلے عہدوں پر فائز لوگوں کے سپرد نہیں کرنے چاہئیں۔
UN1	disagree5	یہ اہم ہے کہ ہدایات تفصیل سے بیان کی جائیں تاکہ مجھے ہمیشہ معلوم رہے کہ مجھ سے کیا توقع کی جاتی ہے۔
UN2	disagree5	یہ اہم ہے کہ ہدایات اور طریقہ کار کی سختی سے پیروی کی جائے۔
UN3	disagree5	قواعد و ضوابط اہم ہیں کیونکہ وہ مجھے بتاتے ہیں کہ مجھ سے کیا توقع کی جاتی ہے۔
UN4	disagree5	کام کے معیاری طریقہ کار مددگار ہوتے ہیں۔
UN5	disagree5	کام کاج کے لیے ہدایات اہم ہیں۔
CO1	disagree5	افراد کو گروہ کی خاطر ذاتی مفاد کی قربانی دینی چاہیے۔
CO2	disagree5	افراد کو مشکلات میں بھی گروہ کے ساتھ جڑے رہنا چاہیے۔
CO3	disagree5	گروہ کی فلاح انفرادی انعامات سے زیادہ اہم ہے۔
CO4	disagree5	گروہ کی کامیابی انفرادی کامیابی سے زیادہ اہم ہے۔
CO5	disagree5	افراد کو اپنے مقاصد صرف گروہ کی فلاح کو مدنظر رکھنے کے بعد ہی حاصل کرنے چاہئیں۔
CO6	disagree5	گروہ سے وفاداری کی حوصلہ افزائی کی جانی چاہیے، خواہ انفرادی مقاصد کو نقصان پہنچے۔
LT1	important5	پیسے کا محتاط انتظام (کفایت شعاری)
LT2	important5	مخالفت کے باوجود ثابت قدمی سے آگے بڑھتے رہنا (استقامت)
LT3	important5	ذاتی پائیداری اور استحکام
LT4	important5	طویل مدتی منصوبہ بندی
LT5	important5	مستقبل کی کامیابی کے لیے آج کی خوشیوں کو چھوڑنا
LT6	important5	مستقبل کی کامیابی کے لیے سخت محنت کرنا
MA1	disagree5	مردوں کے لیے پیشہ ورانہ کیریئر رکھنا عورتوں کے مقابلے میں زیادہ اہم ہے۔
MA2	disagree5	مرد عموماً مسائل کو منطقی تجزیے سے حل کرتے ہیں؛ عورتیں عموماً مسائل کو وجدان سے حل کرتی ہیں۔
MA3	disagree5	مشکل مسائل کو حل کرنے کے لیے عموماً ایک سرگرم اور بھرپور اندازِ عمل درکار ہوتا ہے، جو مردوں کی خاصیت ہے۔
MA4	disagree5	کچھ کام ایسے ہیں جو ایک مرد ہمیشہ ایک عورت سے بہتر کر سکتا ہے۔
