Item	Scale	Content
PO1	disagree5	Ľudia na vyšších pozíciách by mali väčšinu rozhodnutí prijímať bez konzultácie s ľuďmi na nižších pozíciách.
PO2	disagree5	Ľudia na vyšších pozíciách by sa nemali príliš často pýtať na názory ľudí na nižších pozíciách.
PO3	disagree5	Ľudia na vyšších pozíciách by sa mali vyhýbať spoločenskému kontaktu s ľuďmi na nižších pozíciách.
PO4	disagree5	Ľudia na nižších pozíciách by nemali nesúhlasiť s rozhodnutiami ľudí na vyšších pozíciách.
PO5	disagree5	Ľudia na vyšších pozíciách by nemali delegovať dôležité úlohy na ľudí na nižších pozíciách.
UN1	disagree5	Je dôležité mať podrobne rozpísané pokyny, vďaka čomu vždy viem, čo sa odo mňa očakáva.
UN2	disagree5	Je dôležité presne dodržiavať pokyny a postupy.
UN3	disagree5	Pravidlá a predpisy sú dôležité, pretože ma informujú o tom, čo sa odo mňa očakáva.
UN4	disagree5	Štandardizované pracovné postupy sú užitočné.
UN5	disagree5	Pokyny pre pracovné činnosti sú dôležité.
CO1	disagree5	Jednotlivci by mali obetovať vlastné záujmy v prospech skupiny.
CO2	disagree5	Jednotlivci by sa mali držať skupiny aj v ťažkých časoch.
CO3	disagree5	Dobro skupiny je dôležitejšie než individuálne odmeny.
CO4	disagree5	Úspech skupiny je dôležitejší než individuálny úspech.
CO5	disagree5	Jednotlivci by mali usilovať o svoje ciele až po zvážení dobra skupiny.
CO6	disagree5	Lojalita voči skupine by sa mala podporovať, aj keď tým trpia individuálne ciele.
LT1	important5	Starostlivé hospodárenie s peniazmi (šetrnosť)
LT2	important5	Odhodlané pokračovanie napriek odporu (vytrvalosť)
LT3	important5	Osobná stálosť a stabilita
LT4	important5	Dlhodobé plánovanie
LT5	important5	Vzdanie sa dnešnej zábavy pre budúci úspech
LT6	important5	Tvrdá práca pre budúci úspech
MA1	disagree5	Mať profesijnú kariéru je dôležitejšie pre mužov než pre ženy.
MA2	disagree5	Muži zvyčajne riešia problémy pomocou logickej analýzy; ženy zvyčajne riešia problémy pomocou intuície.
MA3	disagree5	Riešenie ťažkých problémov zvyčajne vyžaduje aktívny, razantný prístup, ktorý je typický pre mužov.
MA4	disagree5	Existujú práce, ktoré muž vždy zvládne lepšie než žena.
