Item	Scale	Content
PO1	disagree5	ผู้ที่อยู่ในตำแหน่งสูงกว่าควรตัดสินใจเรื่องส่วนใหญ่โดยไม่ปรึกษาผู้ที่อยู่ในตำแหน่งต่ำกว่า
PO2	disagree5	ผู้ที่อยู่ในตำแหน่งสูงกว่าไม่ควรถามความคิดเห็นของผู้ที่อยู่ในตำแหน่งต่ำกว่าบ่อยเกินไป
PO3	disagree5	ผู้ที่อยู่ในตำแหน่งสูงกว่าควรหลีกเลี่ยงการมีปฏิสัมพันธ์ทางสังคมกับผู้ที่อยู่ในตำแหน่งต่ำกว่า
PO4	disagree5	ผู้ที่อยู่ในตำแหน่งต่ำกว่าไม่ควรคัดค้านการตัดสินใจของผู้ที่อยู่ในตำแหน่งสูงกว่า
PO5	disagree5	ผู้ที่อยู่ในตำแหน่งสูงกว่าไม่ควรมอบหมายงานสำคัญให้ผู้ที่อยู่ในตำแหน่งต่ำกว่า
UN1	disagree5	การมีคำแนะนำที่ระบุไว้อย่างละเอียดเป็นสิ่งสำคัญ เพื่อให้ฉันรู้เสมอว่าฉันถูกคาดหวังให้ทำอะไร
UN2	disagree5	การปฏิบัติตามคำแนะนำและขั้นตอนอย่างเคร่งครัดเป็นสิ่งสำคัญ
UN3	disagree5	กฎและระเบียบมีความสำคัญ เพราะทำให้ฉันรู้ว่ามีสิ่งใดที่ถูกคาดหวังจากฉัน
UN4	disagree5	ขั้นตอนการทำงานที่เป็นมาตรฐานมีประโยชน์
UN5	disagree5	คำแนะนำในการปฏิบัติงานมีความสำคัญ
CO1	disagree5	บุคคลควรเสียสละประโยชน์ส่วนตนเพื่อกลุ่ม
CO2	disagree5	บุคคลควรอยู่กับกลุ่มต่อไปแม้ในยามยากลำบาก
CO3	disagree5	สวัสดิภาพของกลุ่มสำคัญกว่ารางวัลส่วนบุคคล
CO4	disagree5	ความสำเร็จของกลุ่มสำคัญกว่าความสำเร็จส่วนบุคคล
CO5	disagree5	บุคคลควรมุ่งสู่เป้าหมายของตนหลังจากได้พิจารณาสวัสดิภาพของกลุ่มแล้วเท่านั้น
CO6	disagree5	ความภักดีต่อกลุ่มควรได้รับการส่งเสริม แม้ว่าเป้าหมายส่วนบุคคลจะได้รับผลกระทบก็ตาม
LT1	important5	การจัดการเงินอย่างรอบคอบ (ความประหยัด)
LT2	important5	การมุ่งหน้าต่อไปอย่างเด็ดเดี่ยวแม้จะมีการต่อต้าน (ความพากเพียร)
LT3	important5	ความหนักแน่นและความมั่นคงส่วนบุคคล
LT4	important5	การวางแผนระยะยาว
LT5	important5	การยอมสละความสนุกในวันนี้เพื่อความสำเร็จในอนาคต
LT6	important5	การทำงานหนักเพื่อความสำเร็จในอนาคต
MA1	disagree5	การมีอาชีพการงานที่ก้าวหน้าสำคัญสำหรับผู้ชายมากกว่าสำหรับผู้หญิง
MA2	disagree5	ผู้ชายมักแก้ปัญหาด้วยการวิเคราะห์เชิงตรรกะ ส่วนผู้หญิงมักแก้ปัญหาด้วยสัญชาตญาณ
MA3	disagree5	การแก้ปัญหาที่ยากมักต้องใช้วิธีการเชิงรุกและแข็งกร้าว ซึ่งเป็นลักษณะทั่วไปของผู้ชาย
MA4	disagree5	มีงานบางอย่างที่ผู้ชายทำได้ดีกว่าผู้หญิงเสมอ
