Item	Scale	Content
PO1	disagree5	Ljudje na višjih položajih bi morali sprejeti večino odločitev, ne da bi se posvetovali z ljudmi na nižjih položajih.
PO2	disagree5	Ljudje na višjih položajih ne bi smeli prepogosto spraševati po mnenju ljudi na nižjih položajih.
PO3	disagree5	Ljudje na višjih položajih bi se morali izogibati druženju z ljudmi na nižjih položajih.
PO4	disagree5	Ljudje na nižjih položajih se ne bi smeli ne strinjati z odločitvami ljudi na višjih položajih.
PO5	disagree5	Ljudje na višjih položajih ne bi smeli prepuščati pomembnih nalog ljudem na nižjih položajih.
UN1	disagree5	Pomembno je, da so navodila podrobno razdelana, tako da vedno vem, kaj se od mene pričakuje.
UN2	disagree5	Pomembno je natančno upoštevati navodila in postopke.
UN3	disagree5	Pravila in predpisi so pomembni, ker mi povedo, kaj se od mene pričakuje.
UN4	disagree5	Standardizirani delovni postopki so koristni.
UN5	disagree5	Navodila za delo so pomembna.
CO1	disagree5	Posamezniki bi morali žrtvovati lastne interese za skupino.
CO2	disagree5	Posamezniki bi morali ostati ob skupini tudi v težavah.
CO3	disagree5	Dobrobit skupine je pomembnejša od nagrad posameznikov.
CO4	disagree5	Uspeh skupine je pomembnejši od uspeha posameznika.
CO5	disagree5	Posamezniki bi morali slediti svojim ciljem šele potem, ko upoštevajo dobrobit skupine.
CO6	disagree5	Zvestobo skupini bi bilo treba spodbujati, tudi če pri tem trpijo cilji posameznikov.
LT1	important5	Skrbno ravnanje z denarjem (varčnost)
LT2	important5	Odločno nadaljevanje kljub nasprotovanju (vztrajnost)
LT3	important5	Osebna stanovitnost in stabilnost
LT4	important5	Dolgoročno načrtovanje
LT5	important5	Odrekanje današnji zabavi za uspeh v prihodnosti
LT6	important5	Trdo delo za uspeh v prihodnosti
MA1	disagree5	Za moške je pomembneje imeti poklicno kariero kot za ženske.
MA2	disagree5	Moški običajno rešujejo probleme z logično analizo; ženske običajno rešujejo probleme z intuicijo.
MA3	disagree5	Reševanje težkih problemov običajno zahteva aktiven, prodoren pristop, kar je značilno za moške.
MA4	disagree5	Obstajajo nekatera dela, ki jih moški vedno opravi bolje kot ženska.
