Item	Scale	Content
PO1	disagree5	Хората на по-високи длъжности трябва да вземат повечето решения, без да се допитват до хората на по-ниски длъжности.
PO2	disagree5	Хората на по-високи длъжности не трябва да питат твърде често за мнението на хората на по-ниски длъжности.
PO3	disagree5	Хората на по-високи длъжности трябва да избягват неформалното общуване с хората на по-ниски длъжности.
PO4	disagree5	Хората на по-ниски длъжности не трябва да изразяват несъгласие с решенията на хората на по-високи длъжности.
PO5	disagree5	Хората на по-високи длъжности не трябва да възлагат важни задачи на хората на по-ниски длъжности.
UN1	disagree5	Важно е инструкциите да са подробно описани, за да знам винаги какво се очаква от мен.
UN2	disagree5	Важно е стриктно да се спазват инструкциите и процедурите.
UN3	disagree5	Правилата и разпоредбите са важни, защото ми казват какво се очаква от мен.
UN4	disagree5	Стандартизираните работни процедури са полезни.
UN5	disagree5	Инструкциите за извършване на работните дейности са важни.
CO1	disagree5	Индивидите трябва да жертват личния си интерес заради групата.
CO2	disagree5	Индивидите трябва да остават с групата дори при трудности.
CO3	disagree5	Благополучието на групата е по-важно от индивидуалните награди.
CO4	disagree5	Успехът на групата е по-важен от индивидуалния успех.
CO5	disagree5	Индивидите трябва да преследват целите си само след като вземат предвид благополучието на групата.
CO6	disagree5	Лоялността към групата трябва да се насърчава, дори ако индивидуалните цели пострадат.
LT1	important5	Внимателно управление на парите (пестеливост)
LT2	important5	Решително продължаване на започнатото въпреки съпротивата (упоритост)
LT3	important5	Лична устойчивост и стабилност
LT4	important5	Дългосрочно планиране
LT5	important5	Отказ от днешните удоволствия заради успеха в бъдеще
LT6	important5	Усърдна работа заради успеха в бъдеще
MA1	disagree5	За мъжете е по-важно да имат професионална кариера, отколкото за жените.
MA2	disagree5	Мъжете обикновено решават проблемите чрез логически анализ; жените обикновено решават проблемите чрез интуиция.
MA3	disagree5	Решаването на трудни проблеми обикновено изисква активен, напорист подход, който е типичен за мъжете.
MA4	disagree5	Има някои видове работа, които мъжът винаги ще свърши по-добре от жената.
