Item	Scale	Content
PO1	disagree5	Aukštesnes pareigas užimantys žmonės turėtų priimti daugumą sprendimų nesitardami su žemesnes pareigas užimančiais žmonėmis.
PO2	disagree5	Aukštesnes pareigas užimantys žmonės neturėtų per dažnai klausti žemesnes pareigas užimančių žmonių nuomonės.
PO3	disagree5	Aukštesnes pareigas užimantys žmonės turėtų vengti socialinio bendravimo su žemesnes pareigas užimančiais žmonėmis.
PO4	disagree5	Žemesnes pareigas užimantys žmonės neturėtų nesutikti su aukštesnes pareigas užimančių žmonių sprendimais.
PO5	disagree5	Aukštesnes pareigas užimantys žmonės neturėtų pavesti svarbių užduočių žemesnes pareigas užimantiems žmonėms.
UN1	disagree5	Svarbu, kad nurodymai būtų išsamiai išdėstyti, kad visada žinočiau, ką turiu daryti.
UN2	disagree5	Svarbu tiksliai laikytis nurodymų ir procedūrų.
UN3	disagree5	Taisyklės ir nuostatai yra svarbūs, nes jie man praneša, ko iš manęs tikimasi.
UN4	disagree5	Standartizuotos darbo procedūros yra naudingos.
UN5	disagree5	Veiklos nurodymai yra svarbūs.
CO1	disagree5	Individai turėtų aukoti savo interesus dėl grupės.
CO2	disagree5	Individai turėtų likti su grupe net ir sunkumų metu.
CO3	disagree5	Grupės gerovė yra svarbesnė už individo atlygį.
CO4	disagree5	Grupės sėkmė yra svarbesnė už individo sėkmę.
CO5	disagree5	Individai savo tikslų turėtų siekti tik apsvarstę grupės gerovę.
CO6	disagree5	Grupinį lojalumą reikėtų skatinti, net jei nukenčia individo tikslai.
LT1	important5	Rūpestingas pinigų tvarkymas (taupumas)
LT2	important5	Ryžtingas ėjimas pirmyn nepaisant pasipriešinimo (atkaklumas)
LT3	important5	Asmeninis pastovumas ir stabilumas
LT4	important5	Ilgalaikis planavimas
LT5	important5	Šiandienos malonumų atsisakymas dėl sėkmės ateityje
LT6	important5	Sunkus darbas dėl sėkmės ateityje
MA1	disagree5	Vyrams profesinė karjera yra svarbesnė nei moterims.
MA2	disagree5	Vyrai paprastai sprendžia problemas logine analize; moterys paprastai sprendžia problemas intuicija.
MA3	disagree5	Sunkių problemų sprendimas paprastai reikalauja aktyvaus, jėgingo požiūrio, kuris būdingas vyrams.
MA4	disagree5	Yra darbų, kuriuos vyras visada gali atlikti geriau nei moteris.
