Item	Scale	Content
PO1	disagree5	உயர் பதவியில் உள்ளவர்கள், கீழ் பதவியில் உள்ளவர்களைக் கலந்தாலோசிக்காமல் பெரும்பாலான முடிவுகளை எடுக்க வேண்டும்.
PO2	disagree5	உயர் பதவியில் உள்ளவர்கள், கீழ் பதவியில் உள்ளவர்களின் கருத்துக்களை மிக அடிக்கடி கேட்கக்கூடாது.
PO3	disagree5	உயர் பதவியில் உள்ளவர்கள், கீழ் பதவியில் உள்ளவர்களுடன் சமூக ரீதியில் பழகுவதைத் தவிர்க்க வேண்டும்.
PO4	disagree5	கீழ் பதவியில் உள்ளவர்கள், உயர் பதவியில் உள்ளவர்களின் முடிவுகளுடன் மாறுபடக்கூடாது.
PO5	disagree5	உயர் பதவியில் உள்ளவர்கள், முக்கியமான பணிகளைக் கீழ் பதவியில் உள்ளவர்களிடம் ஒப்படைக்கக்கூடாது.
UN1	disagree5	நான் என்ன செய்ய வேண்டும் என்பது எனக்கு எப்போதும் தெரிந்திருக்கும் வகையில், அறிவுறுத்தல்கள் விரிவாக விளக்கப்பட்டிருப்பது முக்கியம்.
UN2	disagree5	அறிவுறுத்தல்களையும் நடைமுறைகளையும் உன்னிப்பாகப் பின்பற்றுவது முக்கியம்.
UN3	disagree5	விதிகளும் ஒழுங்குமுறைகளும் முக்கியம், ஏனெனில் என்னிடமிருந்து என்ன எதிர்பார்க்கப்படுகிறது என்பதை அவை எனக்குத் தெரிவிக்கின்றன.
UN4	disagree5	தரப்படுத்தப்பட்ட பணி நடைமுறைகள் பயனுள்ளவை.
UN5	disagree5	செயல்பாடுகளுக்கான அறிவுறுத்தல்கள் முக்கியம்.
CO1	disagree5	தனிநபர்கள் குழுவிற்காகத் தன்னலத்தைத் தியாகம் செய்ய வேண்டும்.
CO2	disagree5	தனிநபர்கள் சிரமங்களின் போதும் குழுவுடன் நிலைத்திருக்க வேண்டும்.
CO3	disagree5	குழுவின் நலன் தனிநபர் வெகுமதிகளை விட முக்கியமானது.
CO4	disagree5	குழுவின் வெற்றி தனிநபர் வெற்றியை விட முக்கியமானது.
CO5	disagree5	தனிநபர்கள் குழுவின் நலனைக் கருத்தில் கொண்ட பிறகே தங்கள் இலக்குகளைப் பின்தொடர வேண்டும்.
CO6	disagree5	தனிநபர் இலக்குகள் பாதிக்கப்பட்டாலும், குழுவின் மீதான விசுவாசம் ஊக்குவிக்கப்பட வேண்டும்.
LT1	important5	பணத்தைக் கவனமாக நிர்வகித்தல் (சிக்கனம்)
LT2	important5	எதிர்ப்பையும் மீறி உறுதியுடன் தொடர்ந்து செல்லுதல் (விடாமுயற்சி)
LT3	important5	தனிப்பட்ட உறுதிப்பாடும் நிலைத்தன்மையும்
LT4	important5	நீண்டகாலத் திட்டமிடல்
LT5	important5	எதிர்காலத்தில் வெற்றி பெறுவதற்காக இன்றைய இன்பங்களை விட்டுக்கொடுத்தல்
LT6	important5	எதிர்காலத்தில் வெற்றி பெறுவதற்காகக் கடினமாக உழைத்தல்
MA1	disagree5	பெண்களைக் காட்டிலும் ஆண்களுக்கு ஒரு தொழில்முறை வாழ்க்கை இருப்பது முக்கியமானது.
MA2	disagree5	ஆண்கள் பொதுவாகத் தர்க்கரீதியான பகுப்பாய்வின் மூலம் சிக்கல்களைத் தீர்க்கின்றனர்; பெண்கள் பொதுவாக உள்ளுணர்வின் மூலம் சிக்கல்களைத் தீர்க்கின்றனர்.
MA3	disagree5	கடினமான சிக்கல்களைத் தீர்ப்பதற்குப் பொதுவாகச் சுறுசுறுப்பான, வலுவான அணுகுமுறை தேவைப்படுகிறது; இது ஆண்களுக்கே உரிய பண்பாகும்.
MA4	disagree5	ஒரு பெண்ணைக் காட்டிலும் ஒரு ஆண் எப்போதும் சிறப்பாகச் செய்யக்கூடிய சில வேலைகள் உள்ளன.
