Item	Scale	Content
PO1	disagree5	کسانی که در جایگاه بالاتری قرار دارند باید بیشترِ تصمیم‌ها را بدون مشورت با کسانی که در جایگاه پایین‌تری قرار دارند بگیرند.
PO2	disagree5	کسانی که در جایگاه بالاتری قرار دارند نباید بیش از اندازه نظر کسانی را که در جایگاه پایین‌تری قرار دارند جویا شوند.
PO3	disagree5	کسانی که در جایگاه بالاتری قرار دارند باید از معاشرت با کسانی که در جایگاه پایین‌تری قرار دارند بپرهیزند.
PO4	disagree5	کسانی که در جایگاه پایین‌تری قرار دارند نباید با تصمیم‌های کسانی که در جایگاه بالاتری قرار دارند مخالفت کنند.
PO5	disagree5	کسانی که در جایگاه بالاتری قرار دارند نباید وظایف مهم را به کسانی که در جایگاه پایین‌تری قرار دارند واگذار کنند.
UN1	disagree5	مهم است که دستورالعمل‌ها به‌تفصیل بیان شوند تا همیشه بدانم چه انتظاری از من می‌رود.
UN2	disagree5	مهم است که از دستورالعمل‌ها و رویه‌ها به‌دقت پیروی شود.
UN3	disagree5	قوانین و مقررات مهم‌اند، زیرا به من می‌گویند چه انتظاری از من می‌رود.
UN4	disagree5	رویه‌های کاریِ استاندارد مفیدند.
UN5	disagree5	دستورالعمل‌های انجام کار مهم‌اند.
CO1	disagree5	افراد باید منافع شخصی خود را فدای گروه کنند.
CO2	disagree5	افراد باید حتی در دشواری‌ها هم در کنار گروه بمانند.
CO3	disagree5	رفاه گروه مهم‌تر از پاداش‌های فردی است.
CO4	disagree5	موفقیت گروه مهم‌تر از موفقیت فردی است.
CO5	disagree5	افراد باید تنها پس از در نظر گرفتن رفاه گروه، اهداف خود را دنبال کنند.
CO6	disagree5	وفاداری به گروه باید تشویق شود، حتی اگر اهداف فردی آسیب ببینند.
LT1	important5	مدیریت دقیق پول (صرفه‌جویی)
LT2	important5	ادامه‌دادنِ مصمم با وجود مخالفت‌ها (پشتکار)
LT3	important5	ثبات و پایداریِ شخصی
LT4	important5	برنامه‌ریزی بلندمدت
LT5	important5	چشم‌پوشی از خوشیِ امروز برای موفقیت در آینده
LT6	important5	سخت‌کوشی برای موفقیت در آینده
MA1	disagree5	داشتن شغلِ حرفه‌ای برای مردان مهم‌تر از زنان است.
MA2	disagree5	مردان معمولاً مسائل را با تحلیل منطقی حل می‌کنند؛ زنان معمولاً مسائل را با شهود حل می‌کنند.
MA3	disagree5	حل مسائل دشوار معمولاً نیازمند رویکردی فعال و قاطع است که ویژگیِ مردان است.
MA4	disagree5	برخی کارها هستند که یک مرد همیشه می‌تواند آنها را بهتر از یک زن انجام دهد.
