Item	Scale	Content
PO1	disagree5	उच्च पदों पर बैठे लोगों को अधिकांश निर्णय निम्न पदों पर बैठे लोगों से सलाह लिए बिना लेने चाहिए।
PO2	disagree5	उच्च पदों पर बैठे लोगों को निम्न पदों पर बैठे लोगों की राय बहुत बार नहीं पूछनी चाहिए।
PO3	disagree5	उच्च पदों पर बैठे लोगों को निम्न पदों पर बैठे लोगों के साथ सामाजिक मेल-जोल से बचना चाहिए।
PO4	disagree5	निम्न पदों पर बैठे लोगों को उच्च पदों पर बैठे लोगों के निर्णयों से असहमत नहीं होना चाहिए।
PO5	disagree5	उच्च पदों पर बैठे लोगों को महत्वपूर्ण कार्य निम्न पदों पर बैठे लोगों को नहीं सौंपने चाहिए।
UN1	disagree5	यह महत्वपूर्ण है कि निर्देश विस्तार से बताए जाएँ ताकि मुझे हमेशा पता रहे कि मुझसे क्या अपेक्षा की जाती है।
UN2	disagree5	निर्देशों और प्रक्रियाओं का बारीकी से पालन करना महत्वपूर्ण है।
UN3	disagree5	नियम और कायदे महत्वपूर्ण हैं क्योंकि वे मुझे बताते हैं कि मुझसे क्या अपेक्षा की जाती है।
UN4	disagree5	मानकीकृत कार्य-प्रक्रियाएँ सहायक होती हैं।
UN5	disagree5	कार्य-संचालन के लिए निर्देश महत्वपूर्ण हैं।
CO1	disagree5	व्यक्तियों को समूह के लिए अपने निजी हित का त्याग करना चाहिए।
CO2	disagree5	व्यक्तियों को कठिनाइयों में भी समूह के साथ बने रहना चाहिए।
CO3	disagree5	समूह का कल्याण व्यक्तिगत पुरस्कारों से अधिक महत्वपूर्ण है।
CO4	disagree5	समूह की सफलता व्यक्तिगत सफलता से अधिक महत्वपूर्ण है।
CO5	disagree5	व्यक्तियों को समूह के कल्याण पर विचार करने के बाद ही अपने लक्ष्यों को पाने का प्रयास करना चाहिए।
CO6	disagree5	समूह के प्रति निष्ठा को प्रोत्साहित किया जाना चाहिए, भले ही व्यक्तिगत लक्ष्यों को नुकसान पहुँचे।
LT1	important5	धन का सावधानीपूर्वक प्रबंधन (मितव्ययिता)
LT2	important5	विरोध के बावजूद दृढ़तापूर्वक आगे बढ़ते रहना (दृढ़ता)
LT3	important5	व्यक्तिगत स्थिरता और स्थायित्व
LT4	important5	दीर्घकालिक योजना
LT5	important5	भविष्य की सफलता के लिए आज के आनंद को छोड़ना
LT6	important5	भविष्य की सफलता के लिए कठिन परिश्रम करना
MA1	disagree5	पुरुषों के लिए पेशेवर करियर होना महिलाओं की तुलना में अधिक महत्वपूर्ण है।
MA2	disagree5	पुरुष आमतौर पर समस्याओं को तार्किक विश्लेषण से हल करते हैं; महिलाएँ आमतौर पर समस्याओं को अंतर्ज्ञान से हल करती हैं।
MA3	disagree5	कठिन समस्याओं को हल करने के लिए आमतौर पर एक सक्रिय, बलपूर्ण दृष्टिकोण की आवश्यकता होती है, जो पुरुषों की विशेषता है।
MA4	disagree5	कुछ काम ऐसे हैं जिन्हें एक पुरुष हमेशा एक महिला से बेहतर कर सकता है।
