Item	Scale	Content
PO1	disagree5	Ljudi na višim položajima trebali bi donositi većinu odluka bez savjetovanja s ljudima na nižim položajima.
PO2	disagree5	Ljudi na višim položajima ne bi trebali prečesto tražiti mišljenje ljudi na nižim položajima.
PO3	disagree5	Ljudi na višim položajima trebali bi izbjegavati druženje s ljudima na nižim položajima.
PO4	disagree5	Ljudi na nižim položajima ne bi se trebali ne slagati s odlukama ljudi na višim položajima.
PO5	disagree5	Ljudi na višim položajima ne bi trebali povjeravati važne zadatke ljudima na nižim položajima.
UN1	disagree5	Važno je imati detaljno razrađene upute, tako da uvijek znam što se od mene očekuje.
UN2	disagree5	Važno je strogo se pridržavati uputa i postupaka.
UN3	disagree5	Pravila i propisi važni su jer mi govore što se od mene očekuje.
UN4	disagree5	Standardizirani radni postupci korisni su.
UN5	disagree5	Upute za rad važne su.
CO1	disagree5	Pojedinci bi trebali žrtvovati vlastite interese za skupinu.
CO2	disagree5	Pojedinci bi trebali ostati uz skupinu čak i u teškim vremenima.
CO3	disagree5	Dobrobit skupine važnija je od pojedinačnih nagrada.
CO4	disagree5	Uspjeh skupine važniji je od pojedinačnog uspjeha.
CO5	disagree5	Pojedinci bi trebali težiti svojim ciljevima tek nakon što uzmu u obzir dobrobit skupine.
CO6	disagree5	Odanost skupini trebalo bi poticati čak i ako pojedinačni ciljevi trpe.
LT1	important5	Pažljivo upravljanje novcem (štedljivost)
LT2	important5	Odlučno nastavljanje unatoč protivljenju (ustrajnost)
LT3	important5	Osobna postojanost i stabilnost
LT4	important5	Dugoročno planiranje
LT5	important5	Odricanje od današnje zabave za uspjeh u budućnosti
LT6	important5	Naporan rad za uspjeh u budućnosti
MA1	disagree5	Muškarcima je važnije imati profesionalnu karijeru nego ženama.
MA2	disagree5	Muškarci obično rješavaju probleme logičkom analizom; žene obično rješavaju probleme intuicijom.
MA3	disagree5	Rješavanje teških problema obično zahtijeva aktivan, razantan pristup, koji je tipičan za muškarce.
MA4	disagree5	Postoje neki poslovi koje muškarac uvijek može obaviti bolje od žene.
