Item	Scale	Content
PO1	disagree5	Људи на вишим положајима требало би да доносе већину одлука без саветовања са људима на нижим положајима.
PO2	disagree5	Људи на вишим положајима не би требало да превише често траже мишљење људи на нижим положајима.
PO3	disagree5	Људи на вишим положајима требало би да избегавају дружење са људима на нижим положајима.
PO4	disagree5	Људи на нижим положајима не би требало да се не слажу са одлукама људи на вишим положајима.
PO5	disagree5	Људи на вишим положајима не би требало да поверавају важне задатке људима на нижим положајима.
UN1	disagree5	Важно је имати детаљно разрађена упутства, тако да увек знам шта се од мене очекује.
UN2	disagree5	Важно је доследно се придржавати упутстава и поступака.
UN3	disagree5	Правила и прописи су важни јер ми говоре шта се од мене очекује.
UN4	disagree5	Стандардизовани радни поступци су корисни.
UN5	disagree5	Упутства за рад су важна.
CO1	disagree5	Појединци би требало да жртвују сопствени интерес за групу.
CO2	disagree5	Појединци би требало да остану уз групу чак и у тешким временима.
CO3	disagree5	Добробит групе је важнија од појединачних награда.
CO4	disagree5	Успех групе је важнији од појединачног успеха.
CO5	disagree5	Појединци би требало да теже својим циљевима тек након што узму у обзир добробит групе.
CO6	disagree5	Оданост групи требало би подстицати чак и ако појединачни циљеви трпе.
LT1	important5	Пажљиво управљање новцем (штедљивост)
LT2	important5	Одлучно настављање упркос противљењу (истрајност)
LT3	important5	Лична постојаност и стабилност
LT4	important5	Дугорочно планирање
LT5	important5	Одрицање од данашње забаве за успех у будућности
LT6	important5	Напоран рад за успех у будућности
MA1	disagree5	Мушкарцима је важније имати професионалну каријеру него женама.
MA2	disagree5	Мушкарци обично решавају проблеме логичком анализом; жене обично решавају проблеме интуицијом.
MA3	disagree5	Решавање тешких проблема обично захтева активан, енергичан приступ, који је типичан за мушкарце.
MA4	disagree5	Постоје неки послови које мушкарац увек може боље да обави од жене.
