Item	Scale	Content
PO1	disagree5	지위가 높은 사람은 지위가 낮은 사람과 상의하지 않고 대부분의 결정을 내려야 한다.
PO2	disagree5	지위가 높은 사람은 지위가 낮은 사람의 의견을 너무 자주 물어서는 안 된다.
PO3	disagree5	지위가 높은 사람은 지위가 낮은 사람과의 사적인 교류를 피해야 한다.
PO4	disagree5	지위가 낮은 사람은 지위가 높은 사람의 결정에 반대해서는 안 된다.
PO5	disagree5	지위가 높은 사람은 지위가 낮은 사람에게 중요한 업무를 맡겨서는 안 된다.
UN1	disagree5	내가 무엇을 해야 하는지 항상 알 수 있도록 지시 사항이 상세하게 규정되어 있는 것이 중요하다.
UN2	disagree5	지시 사항과 절차를 철저히 따르는 것이 중요하다.
UN3	disagree5	규칙과 규정은 내게 무엇이 기대되는지 알려 주기 때문에 중요하다.
UN4	disagree5	표준화된 업무 절차는 도움이 된다.
UN5	disagree5	작업에 대한 지시 사항은 중요하다.
CO1	disagree5	개인은 집단을 위해 사익을 희생해야 한다.
CO2	disagree5	개인은 어려움이 있더라도 집단과 함께해야 한다.
CO3	disagree5	집단의 복지는 개인의 보상보다 더 중요하다.
CO4	disagree5	집단의 성공은 개인의 성공보다 더 중요하다.
CO5	disagree5	개인은 집단의 복지를 고려한 후에만 자신의 목표를 추구해야 한다.
CO6	disagree5	개인의 목표가 저해되더라도 집단에 대한 충성심은 권장되어야 한다.
LT1	important5	돈의 신중한 관리 (절약)
LT2	important5	반대에도 굴하지 않고 단호하게 나아가기 (끈기)
LT3	important5	개인의 한결같음과 안정성
LT4	important5	장기적인 계획
LT5	important5	미래의 성공을 위해 오늘의 즐거움을 포기하기
LT6	important5	미래의 성공을 위해 열심히 노력하기
MA1	disagree5	전문적인 직업 경력을 갖는 것은 여성보다 남성에게 더 중요하다.
MA2	disagree5	남성은 대개 논리적 분석으로 문제를 해결하고, 여성은 대개 직관으로 문제를 해결한다.
MA3	disagree5	어려운 문제를 해결하려면 대개 적극적이고 강력한 접근이 필요한데, 이는 남성의 전형적인 특성이다.
MA4	disagree5	남성이 여성보다 항상 더 잘할 수 있는 일이 있다.
