Item	Scale	Content
PO1	disagree5	Personat në pozita më të larta duhet të marrin shumicën e vendimeve pa u konsultuar me personat në pozita më të ulëta.
PO2	disagree5	Personat në pozita më të larta nuk duhet të kërkojnë tepër shpesh mendimin e personave në pozita më të ulëta.
PO3	disagree5	Personat në pozita më të larta duhet të shmangin ndërveprimin shoqëror me personat në pozita më të ulëta.
PO4	disagree5	Personat në pozita më të ulëta nuk duhet t'i kundërshtojnë vendimet e personave në pozita më të larta.
PO5	disagree5	Personat në pozita më të larta nuk duhet t'u delegojnë detyra të rëndësishme personave në pozita më të ulëta.
UN1	disagree5	Është e rëndësishme që udhëzimet të jepen hollësisht, në mënyrë që të di gjithmonë çfarë pritet të bëj.
UN2	disagree5	Është e rëndësishme që udhëzimet dhe procedurat të ndiqen me përpikëri.
UN3	disagree5	Rregullat dhe rregulloret janë të rëndësishme, sepse më informojnë për atë që pritet prej meje.
UN4	disagree5	Procedurat e standardizuara të punës janë të dobishme.
UN5	disagree5	Udhëzimet operative janë të rëndësishme.
CO1	disagree5	Individët duhet të sakrifikojnë interesin vetjak për grupin.
CO2	disagree5	Individët duhet të mbeten me grupin edhe në vështirësi.
CO3	disagree5	Mirëqenia e grupit është më e rëndësishme se shpërblimet individuale.
CO4	disagree5	Suksesi i grupit është më i rëndësishëm se suksesi individual.
CO5	disagree5	Individët duhet t'i ndjekin synimet e tyre vetëm pasi të kenë marrë parasysh mirëqenien e grupit.
CO6	disagree5	Besnikëria ndaj grupit duhet të nxitet edhe nëse dëmtohen synimet individuale.
LT1	important5	Menaxhimi i kujdesshëm i parave (Kursimi)
LT2	important5	Vazhdimi me vendosmëri pavarësisht rezistencës (Këmbëngulja)
LT3	important5	Qëndrueshmëria dhe stabiliteti personal
LT4	important5	Planifikimi afatgjatë
LT5	important5	Heqja dorë nga argëtimi i sotëm për sukses në të ardhmen
LT6	important5	Puna e palodhur për sukses në të ardhmen
MA1	disagree5	Për burrat është më e rëndësishme të kenë karrierë profesionale sesa për gratë.
MA2	disagree5	Burrat zakonisht i zgjidhin problemet me analizë logjike; gratë zakonisht i zgjidhin problemet me intuitë.
MA3	disagree5	Zgjidhja e problemeve të vështira zakonisht kërkon një qasje aktive dhe energjike, që është tipike për burrat.
MA4	disagree5	Ka disa punë që një burrë mund t'i bëjë gjithmonë më mirë se një grua.
