Item	Scale	Content
PO1	disagree5	Daha yüksek konumdaki kişiler, kararların çoğunu daha düşük konumdaki kişilere danışmadan almalıdır.
PO2	disagree5	Daha yüksek konumdaki kişiler, daha düşük konumdaki kişilerin görüşlerini çok sık sormamalıdır.
PO3	disagree5	Daha yüksek konumdaki kişiler, daha düşük konumdaki kişilerle sosyal etkileşimden kaçınmalıdır.
PO4	disagree5	Daha düşük konumdaki kişiler, daha yüksek konumdaki kişilerin kararlarına karşı çıkmamalıdır.
PO5	disagree5	Daha yüksek konumdaki kişiler, önemli görevleri daha düşük konumdaki kişilere devretmemelidir.
UN1	disagree5	Talimatların ayrıntılı biçimde belirtilmesi önemlidir; böylece benden ne yapmam beklendiğini her zaman bilirim.
UN2	disagree5	Talimatlara ve prosedürlere dikkatlice uymak önemlidir.
UN3	disagree5	Kurallar ve düzenlemeler önemlidir, çünkü bana benden ne beklendiğini bildirirler.
UN4	disagree5	Standartlaştırılmış çalışma prosedürleri yararlıdır.
UN5	disagree5	İşlemlere ilişkin talimatlar önemlidir.
CO1	disagree5	Bireyler, grup için kişisel çıkarlarını feda etmelidir.
CO2	disagree5	Bireyler, zorluklara rağmen grupla birlikte kalmalıdır.
CO3	disagree5	Grubun refahı, bireysel ödüllerden daha önemlidir.
CO4	disagree5	Grubun başarısı, bireysel başarıdan daha önemlidir.
CO5	disagree5	Bireyler, hedeflerinin peşinden ancak grubun refahını göz önünde bulundurduktan sonra gitmelidir.
CO6	disagree5	Bireysel hedefler zarar görse bile grup bağlılığı teşvik edilmelidir.
LT1	important5	Paranın dikkatli yönetimi (Tutumluluk)
LT2	important5	Karşı çıkışlara rağmen kararlılıkla devam etmek (Azim)
LT3	important5	Kişisel sağlamlık ve istikrar
LT4	important5	Uzun vadeli planlama
LT5	important5	Gelecekteki başarı için bugünün eğlencesinden vazgeçmek
LT6	important5	Gelecekteki başarı için çok çalışmak
MA1	disagree5	Erkeklerin mesleki bir kariyere sahip olması, kadınlara kıyasla daha önemlidir.
MA2	disagree5	Erkekler genellikle problemleri mantıksal analizle çözer; kadınlar genellikle problemleri sezgiyle çözer.
MA3	disagree5	Zor problemleri çözmek genellikle aktif, güçlü bir yaklaşım gerektirir ki bu da erkeklere özgüdür.
MA4	disagree5	Bir erkeğin her zaman bir kadından daha iyi yapabileceği bazı işler vardır.
