Item	Scale	Content
PO1	disagree5	Люди, занимающие более высокое положение, должны принимать большинство решений, не советуясь с людьми, занимающими более низкое положение.
PO2	disagree5	Люди, занимающие более высокое положение, не должны слишком часто спрашивать мнение людей, занимающих более низкое положение.
PO3	disagree5	Люди, занимающие более высокое положение, должны избегать неформального общения с людьми, занимающими более низкое положение.
PO4	disagree5	Люди, занимающие более низкое положение, не должны выражать несогласие с решениями людей, занимающих более высокое положение.
PO5	disagree5	Люди, занимающие более высокое положение, не должны поручать важные задачи людям, занимающим более низкое положение.
UN1	disagree5	Важно, чтобы инструкции были детально расписаны, чтобы мне всегда было понятно, что от меня ожидается.
UN2	disagree5	Важно точно следовать инструкциям и процедурам.
UN3	disagree5	Правила и предписания важны, потому что они сообщают мне, что от меня ожидается.
UN4	disagree5	Стандартизированные рабочие процедуры полезны.
UN5	disagree5	Инструкции по выполнению операций важны.
CO1	disagree5	Индивиды должны жертвовать личными интересами ради группы.
CO2	disagree5	Индивиды должны держаться группы даже в трудные времена.
CO3	disagree5	Благополучие группы важнее индивидуальных вознаграждений.
CO4	disagree5	Успех группы важнее индивидуального успеха.
CO5	disagree5	Индивиды должны преследовать свои цели только после того, как учтут благополучие группы.
CO6	disagree5	Верность группе следует поощрять, даже если при этом страдают индивидуальные цели.
LT1	important5	Бережное обращение с деньгами (бережливость)
LT2	important5	Решительное продолжение начатого вопреки сопротивлению (настойчивость)
LT3	important5	Личная стойкость и стабильность
LT4	important5	Долгосрочное планирование
LT5	important5	Отказ от сегодняшних удовольствий ради успеха в будущем
LT6	important5	Усердная работа ради успеха в будущем
MA1	disagree5	Для мужчин иметь профессиональную карьеру важнее, чем для женщин.
MA2	disagree5	Мужчины обычно решают проблемы с помощью логического анализа; женщины обычно решают проблемы с помощью интуиции.
MA3	disagree5	Решение трудных проблем обычно требует активного, напористого подхода, который типичен для мужчин.
MA4	disagree5	Есть некоторые виды работы, которые мужчина всегда выполнит лучше, чем женщина.
