Item	Scale	Content
PO1	disagree5	Personen in höheren Positionen sollten die meisten Entscheidungen treffen, ohne Personen in niedrigeren Positionen zu konsultieren.
PO2	disagree5	Personen in höheren Positionen sollten nicht zu häufig nach den Meinungen von Personen in niedrigeren Positionen fragen.
PO3	disagree5	Personen in höheren Positionen sollten sozialen Umgang mit Personen in niedrigeren Positionen vermeiden.
PO4	disagree5	Personen in niedrigeren Positionen sollten Entscheidungen von Personen in höheren Positionen nicht widersprechen.
PO5	disagree5	Personen in höheren Positionen sollten wichtige Aufgaben nicht an Personen in niedrigeren Positionen delegieren.
UN1	disagree5	Es ist wichtig, detaillierte Anweisungen zu haben, damit ich immer weiß, was von mir erwartet wird.
UN2	disagree5	Es ist wichtig, Anweisungen und Verfahrensweisen genau zu befolgen.
UN3	disagree5	Regeln und Vorschriften sind wichtig, weil sie mir sagen, was von mir erwartet wird.
UN4	disagree5	Standardisierte Arbeitsabläufe sind hilfreich.
UN5	disagree5	Arbeitsanweisungen sind wichtig.
CO1	disagree5	Einzelpersonen sollten ihr Eigeninteresse zugunsten der Gruppe opfern.
CO2	disagree5	Einzelpersonen sollten auch in schwierigen Zeiten zur Gruppe stehen.
CO3	disagree5	Das Wohlergehen der Gruppe ist wichtiger als individuelle Belohnungen.
CO4	disagree5	Gruppenerfolg ist wichtiger als individueller Erfolg.
CO5	disagree5	Einzelpersonen sollten ihre Ziele erst verfolgen, nachdem sie das Wohlergehen der Gruppe berücksichtigt haben.
CO6	disagree5	Gruppenloyalität sollte gefördert werden, auch wenn individuelle Ziele darunter leiden.
LT1	important5	Sorgfältiger Umgang mit Geld (Sparsamkeit)
LT2	important5	Entschlossenes Weitermachen trotz Widerstand (Beharrlichkeit)
LT3	important5	Persönliche Beständigkeit und Stabilität
LT4	important5	Langfristige Planung
LT5	important5	Auf heutiges Vergnügen zugunsten künftigen Erfolgs verzichten
LT6	important5	Harte Arbeit für zukünftigen Erfolg
MA1	disagree5	Für Männer ist es wichtiger, eine berufliche Karriere zu haben, als für Frauen.
MA2	disagree5	Männer lösen Probleme meist durch logische Analyse; Frauen lösen Probleme meist durch Intuition.
MA3	disagree5	Das Lösen schwieriger Probleme erfordert üblicherweise ein aktives, energisches Vorgehen, wie es typisch für Männer ist.
MA4	disagree5	Es gibt Tätigkeiten, die ein Mann immer besser ausführen kann als eine Frau.
