Item	Scale	Content
PO1	disagree5	Orang yang berada di posisi lebih tinggi sebaiknya membuat sebagian besar keputusan tanpa berkonsultasi dengan orang yang berada di posisi lebih rendah.
PO2	disagree5	Orang yang berada di posisi lebih tinggi sebaiknya tidak terlalu sering menanyakan pendapat orang yang berada di posisi lebih rendah.
PO3	disagree5	Orang yang berada di posisi lebih tinggi sebaiknya menghindari interaksi sosial dengan orang yang berada di posisi lebih rendah.
PO4	disagree5	Orang yang berada di posisi lebih rendah sebaiknya tidak membantah keputusan yang dibuat oleh orang yang berada di posisi lebih tinggi.
PO5	disagree5	Orang yang berada di posisi lebih tinggi sebaiknya tidak mendelegasikan tugas-tugas penting kepada orang yang berada di posisi lebih rendah.
UN1	disagree5	Penting untuk memiliki petunjuk yang dijabarkan secara rinci sehingga saya selalu tahu apa yang diharapkan dari saya.
UN2	disagree5	Penting untuk mengikuti petunjuk dan prosedur dengan saksama.
UN3	disagree5	Aturan dan peraturan itu penting karena memberi tahu saya apa yang diharapkan dari saya.
UN4	disagree5	Prosedur kerja yang terstandardisasi bermanfaat.
UN5	disagree5	Petunjuk pengoperasian itu penting.
CO1	disagree5	Individu sebaiknya mengorbankan kepentingan pribadi demi kelompok.
CO2	disagree5	Individu sebaiknya tetap bersama kelompok bahkan dalam masa-masa sulit.
CO3	disagree5	Kesejahteraan kelompok lebih penting daripada imbalan individu.
CO4	disagree5	Keberhasilan kelompok lebih penting daripada keberhasilan individu.
CO5	disagree5	Individu sebaiknya baru mengejar tujuan mereka setelah mempertimbangkan kesejahteraan kelompok.
CO6	disagree5	Loyalitas kelompok sebaiknya didorong meskipun tujuan individu terhambat.
LT1	important5	Pengelolaan uang secara cermat (Hemat)
LT2	important5	Terus maju dengan teguh meskipun ada tentangan (Kegigihan)
LT3	important5	Kemantapan dan kestabilan pribadi
LT4	important5	Perencanaan jangka panjang
LT5	important5	Merelakan kesenangan hari ini demi keberhasilan di masa depan
LT6	important5	Bekerja keras demi keberhasilan di masa depan
MA1	disagree5	Memiliki karier profesional lebih penting bagi laki-laki daripada bagi perempuan.
MA2	disagree5	Laki-laki biasanya menyelesaikan masalah dengan analisis logis; perempuan biasanya menyelesaikan masalah dengan intuisi.
MA3	disagree5	Menyelesaikan masalah yang sulit biasanya memerlukan pendekatan yang aktif dan tegas, yang khas bagi laki-laki.
MA4	disagree5	Ada beberapa pekerjaan yang selalu dapat dilakukan lebih baik oleh seorang laki-laki daripada oleh seorang perempuan.
