Item	Scale	Content
PO1	disagree5	Люди, які займають вище становище, повинні ухвалювати більшість рішень, не радячись з людьми, які займають нижче становище.
PO2	disagree5	Люди, які займають вище становище, не повинні надто часто запитувати думку людей, які займають нижче становище.
PO3	disagree5	Люди, які займають вище становище, повинні уникати неформального спілкування з людьми, які займають нижче становище.
PO4	disagree5	Люди, які займають нижче становище, не повинні висловлювати незгоду з рішеннями людей, які займають вище становище.
PO5	disagree5	Люди, які займають вище становище, не повинні доручати важливі завдання людям, які займають нижче становище.
UN1	disagree5	Важливо мати детально розписані інструкції, щоб мені завжди було зрозуміло, чого від мене очікують.
UN2	disagree5	Важливо точно дотримуватися інструкцій і процедур.
UN3	disagree5	Правила й приписи важливі, тому що вони повідомляють мені, чого від мене очікують.
UN4	disagree5	Стандартизовані робочі процедури корисні.
UN5	disagree5	Інструкції щодо виконання операцій важливі.
CO1	disagree5	Індивіди повинні жертвувати власними інтересами заради групи.
CO2	disagree5	Індивіди повинні триматися групи навіть у важкі часи.
CO3	disagree5	Добробут групи важливіший за індивідуальні винагороди.
CO4	disagree5	Успіх групи важливіший за індивідуальний успіх.
CO5	disagree5	Індивіди повинні прагнути до власних цілей лише після того, як врахують добробут групи.
CO6	disagree5	Вірність групі слід заохочувати, навіть якщо страждають індивідуальні цілі.
LT1	important5	Дбайливе поводження з грошима (ощадливість)
LT2	important5	Рішуче продовження розпочатого попри опір (наполегливість)
LT3	important5	Особиста стійкість і стабільність
LT4	important5	Довгострокове планування
LT5	important5	Відмова від сьогоднішніх задоволень заради успіху в майбутньому
LT6	important5	Старанна праця заради успіху в майбутньому
MA1	disagree5	Для чоловіків мати професійну кар'єру важливіше, ніж для жінок.
MA2	disagree5	Чоловіки зазвичай розв'язують проблеми за допомогою логічного аналізу; жінки зазвичай розв'язують проблеми за допомогою інтуїції.
MA3	disagree5	Розв'язання складних проблем зазвичай потребує активного, напористого підходу, який типовий для чоловіків.
MA4	disagree5	Є деякі види роботи, які чоловік завжди виконає краще, ніж жінка.
