Item	Scale	Content
PO1	disagree5	Ylemmässä asemassa olevien ihmisten pitäisi tehdä useimmat päätökset kuulematta alemmassa asemassa olevia ihmisiä.
PO2	disagree5	Ylemmässä asemassa olevien ihmisten ei pitäisi kysyä alemmassa asemassa olevien ihmisten mielipiteitä liian usein.
PO3	disagree5	Ylemmässä asemassa olevien ihmisten pitäisi välttää sosiaalista kanssakäymistä alemmassa asemassa olevien ihmisten kanssa.
PO4	disagree5	Alemmassa asemassa olevien ihmisten ei pitäisi olla eri mieltä ylemmässä asemassa olevien ihmisten päätöksistä.
PO5	disagree5	Ylemmässä asemassa olevien ihmisten ei pitäisi delegoida tärkeitä tehtäviä alemmassa asemassa oleville ihmisille.
UN1	disagree5	On tärkeää, että ohjeet on esitetty yksityiskohtaisesti, jotta tiedän aina, mitä minun odotetaan tekevän.
UN2	disagree5	On tärkeää noudattaa tarkasti ohjeita ja menettelytapoja.
UN3	disagree5	Säännöt ja määräykset ovat tärkeitä, koska ne kertovat minulle, mitä minulta odotetaan.
UN4	disagree5	Standardoidut menettelytavat työssä ovat hyödyllisiä.
UN5	disagree5	Toimintaohjeet ovat tärkeitä.
CO1	disagree5	Yksilöiden pitäisi uhrata oma etunsa ryhmän hyväksi.
CO2	disagree5	Yksilöiden pitäisi pysyä ryhmässä myös vaikeuksien keskellä.
CO3	disagree5	Ryhmän hyvinvointi on tärkeämpää kuin yksilön palkkiot.
CO4	disagree5	Ryhmän menestys on tärkeämpää kuin yksilön menestys.
CO5	disagree5	Yksilöiden pitäisi pyrkiä tavoitteisiinsa vasta sen jälkeen, kun he ovat ottaneet huomioon ryhmän hyvinvoinnin.
CO6	disagree5	Ryhmäuskollisuuteen pitäisi kannustaa, vaikka yksilön tavoitteet kärsisivät.
LT1	important5	Raha-asioiden huolellinen hoitaminen (Säästäväisyys)
LT2	important5	Päättäväinen eteneminen vastustuksesta huolimatta (Sinnikkyys)
LT3	important5	Henkilökohtainen lujuus ja vakaus
LT4	important5	Pitkän aikavälin suunnittelu
LT5	important5	Tämän päivän hauskanpidosta luopuminen tulevaisuuden menestyksen vuoksi
LT6	important5	Kova työnteko tulevaisuuden menestyksen vuoksi
MA1	disagree5	Ammattiura on tärkeämpi miehille kuin naisille.
MA2	disagree5	Miehet ratkaisevat ongelmia yleensä loogisella analyysillä; naiset ratkaisevat ongelmia yleensä intuitiolla.
MA3	disagree5	Vaikeiden ongelmien ratkaiseminen vaatii yleensä aktiivista ja voimakasta lähestymistapaa, joka on miehille tyypillinen.
MA4	disagree5	On olemassa joitakin töitä, jotka mies osaa aina tehdä paremmin kuin nainen.
