Item	Scale	Content
PO1	disagree5	Οι άνθρωποι σε ανώτερες θέσεις θα πρέπει να λαμβάνουν τις περισσότερες αποφάσεις χωρίς να συμβουλεύονται τους ανθρώπους σε κατώτερες θέσεις.
PO2	disagree5	Οι άνθρωποι σε ανώτερες θέσεις δεν θα πρέπει να ζητούν πολύ συχνά τη γνώμη των ανθρώπων σε κατώτερες θέσεις.
PO3	disagree5	Οι άνθρωποι σε ανώτερες θέσεις θα πρέπει να αποφεύγουν την κοινωνική συναναστροφή με τους ανθρώπους σε κατώτερες θέσεις.
PO4	disagree5	Οι άνθρωποι σε κατώτερες θέσεις δεν θα πρέπει να διαφωνούν με τις αποφάσεις των ανθρώπων σε ανώτερες θέσεις.
PO5	disagree5	Οι άνθρωποι σε ανώτερες θέσεις δεν θα πρέπει να αναθέτουν σημαντικά καθήκοντα στους ανθρώπους σε κατώτερες θέσεις.
UN1	disagree5	Είναι σημαντικό οι οδηγίες να είναι διατυπωμένες με λεπτομέρεια, ώστε να γνωρίζω πάντα τι αναμένεται να κάνω.
UN2	disagree5	Είναι σημαντικό να ακολουθεί κανείς πιστά τις οδηγίες και τις διαδικασίες.
UN3	disagree5	Οι κανόνες και οι κανονισμοί είναι σημαντικοί, επειδή με ενημερώνουν για το τι αναμένεται από εμένα.
UN4	disagree5	Οι τυποποιημένες διαδικασίες εργασίας είναι χρήσιμες.
UN5	disagree5	Οι οδηγίες για την εκτέλεση των εργασιών είναι σημαντικές.
CO1	disagree5	Τα άτομα θα πρέπει να θυσιάζουν το προσωπικό τους συμφέρον για χάρη της ομάδας.
CO2	disagree5	Τα άτομα θα πρέπει να παραμένουν στην ομάδα ακόμη και στις δυσκολίες.
CO3	disagree5	Η ευημερία της ομάδας είναι πιο σημαντική από τις ατομικές ανταμοιβές.
CO4	disagree5	Η επιτυχία της ομάδας είναι πιο σημαντική από την ατομική επιτυχία.
CO5	disagree5	Τα άτομα θα πρέπει να επιδιώκουν τους στόχους τους μόνο αφού λάβουν υπόψη την ευημερία της ομάδας.
CO6	disagree5	Η αφοσίωση στην ομάδα θα πρέπει να ενθαρρύνεται, ακόμη και αν θίγονται οι ατομικοί στόχοι.
LT1	important5	Προσεκτική διαχείριση των χρημάτων (Φειδώ)
LT2	important5	Αποφασιστική συνέχιση της προσπάθειας παρά τις αντιδράσεις (Επιμονή)
LT3	important5	Προσωπική σταθερότητα και ευστάθεια
LT4	important5	Μακροπρόθεσμος σχεδιασμός
LT5	important5	Παραίτηση από τη σημερινή διασκέδαση για την επιτυχία στο μέλλον
LT6	important5	Σκληρή εργασία για την επιτυχία στο μέλλον
MA1	disagree5	Είναι πιο σημαντικό για τους άνδρες να έχουν επαγγελματική σταδιοδρομία απ' ό,τι για τις γυναίκες.
MA2	disagree5	Οι άνδρες συνήθως λύνουν τα προβλήματα με λογική ανάλυση· οι γυναίκες συνήθως λύνουν τα προβλήματα με τη διαίσθηση.
MA3	disagree5	Η επίλυση δύσκολων προβλημάτων συνήθως απαιτεί μια ενεργητική, δυναμική προσέγγιση, η οποία είναι τυπική των ανδρών.
MA4	disagree5	Υπάρχουν ορισμένες δουλειές που ένας άνδρας μπορεί πάντα να κάνει καλύτερα από μια γυναίκα.
