Item	Scale	Content
PO1	disagree5	Personer i højere positioner bør træffe de fleste beslutninger uden at rådføre sig med personer i lavere positioner.
PO2	disagree5	Personer i højere positioner bør ikke for ofte spørge personer i lavere positioner om deres mening.
PO3	disagree5	Personer i højere positioner bør undgå social omgang med personer i lavere positioner.
PO4	disagree5	Personer i lavere positioner bør ikke være uenige i beslutninger truffet af personer i højere positioner.
PO5	disagree5	Personer i højere positioner bør ikke uddelegere vigtige opgaver til personer i lavere positioner.
UN1	disagree5	Det er vigtigt, at instruktioner er beskrevet i detaljer, så jeg altid ved, hvad der forventes af mig.
UN2	disagree5	Det er vigtigt at følge instruktioner og procedurer nøje.
UN3	disagree5	Regler og forskrifter er vigtige, fordi de informerer mig om, hvad der forventes af mig.
UN4	disagree5	Standardiserede arbejdsprocedurer er nyttige.
UN5	disagree5	Instruktioner til arbejdsopgaver er vigtige.
CO1	disagree5	Individer bør ofre deres egeninteresse for gruppens skyld.
CO2	disagree5	Individer bør blive i gruppen, selv når der er vanskeligheder.
CO3	disagree5	Gruppens vel er vigtigere end individuelle belønninger.
CO4	disagree5	Gruppens succes er vigtigere end individuel succes.
CO5	disagree5	Individer bør først forfølge deres mål, når de har taget hensyn til gruppens vel.
CO6	disagree5	Gruppeloyalitet bør opmuntres, selv hvis individuelle mål lider under det.
LT1	important5	Omhyggelig omgang med penge (Sparsommelighed)
LT2	important5	At fortsætte beslutsomt trods modstand (Vedholdenhed)
LT3	important5	Personlig standhaftighed og stabilitet
LT4	important5	Langsigtet planlægning
LT5	important5	At give afkald på nutidens fornøjelser for succes i fremtiden
LT6	important5	At arbejde hårdt for succes i fremtiden
MA1	disagree5	Det er vigtigere for mænd at have en professionel karriere, end det er for kvinder.
MA2	disagree5	Mænd løser som regel problemer med logisk analyse; kvinder løser som regel problemer med intuition.
MA3	disagree5	At løse vanskelige problemer kræver som regel en aktiv, kraftfuld tilgang, som er typisk for mænd.
MA4	disagree5	Der er nogle opgaver, som en mand altid kan udføre bedre end en kvinde.
