Item	Scale	Content
PO1	disagree5	ينبغي على الأشخاص في المناصب العليا أن يتّخذوا معظم القرارات دون استشارة الأشخاص في المناصب الدنيا.
PO2	disagree5	ينبغي على الأشخاص في المناصب العليا ألّا يُكثِروا من سؤال الأشخاص في المناصب الدنيا عن آرائهم.
PO3	disagree5	ينبغي على الأشخاص في المناصب العليا أن يتجنّبوا التفاعل الاجتماعي مع الأشخاص في المناصب الدنيا.
PO4	disagree5	ينبغي على الأشخاص في المناصب الدنيا ألّا يعترضوا على القرارات التي يتّخذها الأشخاص في المناصب العليا.
PO5	disagree5	ينبغي على الأشخاص في المناصب العليا ألّا يفوّضوا المهامّ الهامّة إلى الأشخاص في المناصب الدنيا.
UN1	disagree5	من المهمّ أن تكون التعليمات موضّحةً بالتفصيل حتى أعرف دائماً ما هو متوقَّع منّي.
UN2	disagree5	من المهمّ اتّباع التعليمات والإجراءات بدقّة.
UN3	disagree5	القواعد واللوائح مهمّة لأنّها تُطلِعني على ما هو متوقَّع منّي.
UN4	disagree5	إجراءات العمل الموحّدة مفيدة.
UN5	disagree5	التعليمات المتعلّقة بتنفيذ العمليات مهمّة.
CO1	disagree5	ينبغي على الأفراد أن يضحّوا بمصلحتهم الشخصية من أجل المجموعة.
CO2	disagree5	ينبغي على الأفراد أن يتمسّكوا بالمجموعة حتى في أوقات الصعوبات.
CO3	disagree5	رفاه المجموعة أهمّ من المكافآت الفردية.
CO4	disagree5	نجاح المجموعة أهمّ من النجاح الفردي.
CO5	disagree5	ينبغي على الأفراد ألّا يسعوا إلى تحقيق أهدافهم إلّا بعد مراعاة رفاه المجموعة.
CO6	disagree5	ينبغي تشجيع الولاء للمجموعة حتى وإن تضرّرت الأهداف الفردية.
LT1	important5	الإدارة الحصيفة للمال (التوفير)
LT2	important5	المضيّ بعزمٍ رغم المعارضة (المثابرة)
LT3	important5	الثبات والاستقرار الشخصيّ
LT4	important5	التخطيط طويل الأمد
LT5	important5	التخلّي عن متعة اليوم من أجل النجاح في المستقبل
LT6	important5	العمل الجادّ من أجل النجاح في المستقبل
MA1	disagree5	أن تكون للرجال مسيرة مهنية احترافية أهمُّ من أن تكون للنساء.
MA2	disagree5	عادةً ما يحلّ الرجال المشكلات عن طريق التحليل المنطقيّ؛ بينما تحلّ النساء المشكلات عادةً عن طريق الحدس.
MA3	disagree5	عادةً ما يتطلّب حلّ المشكلات الصعبة أسلوباً نشطاً وقوياً، وهو أسلوبٌ يتّسم به الرجال عادةً.
MA4	disagree5	هناك بعض الأعمال التي يستطيع الرجل دائماً أن يؤدّيها على نحوٍ أفضل من المرأة.
