Item	Content
PO1	People in higher positions should make most decisions without consulting people in lower positions.
PO2	People in higher positions should not ask the opinions of people in lower positions too frequently.
PO3	People in higher positions should avoid social interaction with people in lower positions.
PO4	People in lower positions should not disagree with decisions by people in higher positions.
PO5	People in higher positions should not delegate important tasks to people in lower positions.
UN1	It is important to have instructions spelled out in detail so that I always know what I'm expected to do.
UN2	It is important to closely follow instructions and procedures.
UN3	Rules and regulations are important because they inform me of what is expected of me.
UN4	Standardized work procedures are helpful.
UN5	Instructions for operations are important.
CO1	Individuals should sacrifice self-interest for the group.
CO2	Individuals should stick with the group even through difficulties.
CO3	Group welfare is more important than individual rewards.
CO4	Group success is more important than individual success.
CO5	Individuals should only pursue their goals after considering the welfare of the group.
CO6	Group loyalty should be encouraged even if individual goals suffer.
LT1	Careful management of money (Thrift)
LT2	Going on resolutely in spite of opposition (Persistence)
LT3	Personal steadiness and stability
LT4	Long-term planning
LT5	Giving up today's fun for success in the future
LT6	Working hard for success in the future
MA1	It is more important for men to have a professional career than it is for women.
MA2	Men usually solve problems with logical analysis; women usually solve problems with intuition.
MA3	Solving difficult problems usually requires an active, forcible approach, which is typical of men.
MA4	There are some jobs that a man can always do better than a woman.
