Item	Scale	Content
PO1	disagree5	Las personas en posiciones superiores deberían tomar la mayoría de las decisiones sin consultar a las personas en posiciones inferiores.
PO2	disagree5	Las personas en posiciones superiores no deberían pedir con demasiada frecuencia la opinión de las personas en posiciones inferiores.
PO3	disagree5	Las personas en posiciones superiores deberían evitar la interacción social con las personas en posiciones inferiores.
PO4	disagree5	Las personas en posiciones inferiores no deberían discrepar de las decisiones de las personas en posiciones superiores.
PO5	disagree5	Las personas en posiciones superiores no deberían delegar tareas importantes a las personas en posiciones inferiores.
UN1	disagree5	Es importante que las instrucciones estén detalladas para que siempre sepa qué se espera de mí.
UN2	disagree5	Es importante seguir de cerca las instrucciones y los procedimientos.
UN3	disagree5	Las reglas y los reglamentos son importantes porque me informan de lo que se espera de mí.
UN4	disagree5	Los procedimientos de trabajo estandarizados son útiles.
UN5	disagree5	Las instrucciones para las operaciones son importantes.
CO1	disagree5	Los individuos deberían sacrificar el interés propio en favor del grupo.
CO2	disagree5	Los individuos deberían permanecer con el grupo incluso en las dificultades.
CO3	disagree5	El bienestar del grupo es más importante que las recompensas individuales.
CO4	disagree5	El éxito del grupo es más importante que el éxito individual.
CO5	disagree5	Los individuos deberían perseguir sus objetivos solo después de considerar el bienestar del grupo.
CO6	disagree5	La lealtad al grupo debería fomentarse aunque los objetivos individuales se resientan.
LT1	important5	Administración cuidadosa del dinero (Ahorro)
LT2	important5	Seguir adelante con resolución a pesar de la oposición (Perseverancia)
LT3	important5	Constancia y estabilidad personales
LT4	important5	Planificación a largo plazo
LT5	important5	Renunciar a la diversión de hoy por el éxito futuro
LT6	important5	Trabajar duro por el éxito futuro
MA1	disagree5	Es más importante para los hombres tener una carrera profesional que para las mujeres.
MA2	disagree5	Los hombres suelen resolver los problemas mediante el análisis lógico; las mujeres suelen resolverlos mediante la intuición.
MA3	disagree5	Resolver problemas difíciles suele requerir un enfoque activo y enérgico, que es típico de los hombres.
MA4	disagree5	Hay algunos trabajos que un hombre siempre puede hacer mejor que una mujer.
