Item	Scale	Content
PO1	disagree5	Personer i högre positioner bör fatta de flesta beslut utan att rådfråga personer i lägre positioner.
PO2	disagree5	Personer i högre positioner bör inte alltför ofta fråga personer i lägre positioner om deras åsikter.
PO3	disagree5	Personer i högre positioner bör undvika socialt umgänge med personer i lägre positioner.
PO4	disagree5	Personer i lägre positioner bör inte vara oense med de beslut som fattas av personer i högre positioner.
PO5	disagree5	Personer i högre positioner bör inte delegera viktiga uppgifter till personer i lägre positioner.
UN1	disagree5	Det är viktigt att ha instruktioner utförligt beskrivna så att jag alltid vet vad som förväntas av mig.
UN2	disagree5	Det är viktigt att noga följa instruktioner och rutiner.
UN3	disagree5	Regler och föreskrifter är viktiga eftersom de informerar mig om vad som förväntas av mig.
UN4	disagree5	Standardiserade arbetsrutiner är till hjälp.
UN5	disagree5	Instruktioner för arbetet är viktiga.
CO1	disagree5	Individer bör offra egenintresset för gruppens skull.
CO2	disagree5	Individer bör hålla fast vid gruppen även i svårigheter.
CO3	disagree5	Gruppens väl är viktigare än individuella belöningar.
CO4	disagree5	Gruppens framgång är viktigare än individuell framgång.
CO5	disagree5	Individer bör sträva efter sina mål först efter att ha tagit hänsyn till gruppens väl.
CO6	disagree5	Grupplojalitet bör uppmuntras även om individuella mål blir lidande.
LT1	important5	Omsorgsfull hantering av pengar (Sparsamhet)
LT2	important5	Att fortsätta beslutsamt trots motstånd (Ihärdighet)
LT3	important5	Personlig stadga och stabilitet
LT4	important5	Långsiktig planering
LT5	important5	Att avstå från dagens nöjen för framgång i framtiden
LT6	important5	Att arbeta hårt för framgång i framtiden
MA1	disagree5	Det är viktigare för män att ha en yrkeskarriär än det är för kvinnor.
MA2	disagree5	Män löser vanligtvis problem med logisk analys; kvinnor löser vanligtvis problem med intuition.
MA3	disagree5	Att lösa svåra problem kräver vanligtvis ett aktivt, kraftfullt tillvägagångssätt, vilket är typiskt för män.
MA4	disagree5	Det finns vissa arbetsuppgifter som en man alltid kan utföra bättre än en kvinna.
