Item	Scale	Content
PO1	disagree5	Le persone in posizioni superiori dovrebbero prendere la maggior parte delle decisioni senza consultare le persone in posizioni inferiori.
PO2	disagree5	Le persone in posizioni superiori non dovrebbero chiedere troppo spesso l'opinione delle persone in posizioni inferiori.
PO3	disagree5	Le persone in posizioni superiori dovrebbero evitare l'interazione sociale con le persone in posizioni inferiori.
PO4	disagree5	Le persone in posizioni inferiori non dovrebbero dissentire dalle decisioni delle persone in posizioni superiori.
PO5	disagree5	Le persone in posizioni superiori non dovrebbero delegare compiti importanti alle persone in posizioni inferiori.
UN1	disagree5	È importante che le istruzioni siano dettagliate, in modo che io sappia sempre che cosa ci si aspetta da me.
UN2	disagree5	È importante seguire attentamente le istruzioni e le procedure.
UN3	disagree5	Le regole e i regolamenti sono importanti perché mi informano di che cosa ci si aspetta da me.
UN4	disagree5	Le procedure di lavoro standardizzate sono utili.
UN5	disagree5	Le istruzioni operative sono importanti.
CO1	disagree5	Gli individui dovrebbero sacrificare il proprio interesse personale a favore del gruppo.
CO2	disagree5	Gli individui dovrebbero restare uniti al gruppo anche nelle difficoltà.
CO3	disagree5	Il benessere del gruppo è più importante delle ricompense individuali.
CO4	disagree5	Il successo del gruppo è più importante del successo individuale.
CO5	disagree5	Gli individui dovrebbero perseguire i propri obiettivi solo dopo aver considerato il benessere del gruppo.
CO6	disagree5	La lealtà verso il gruppo dovrebbe essere incoraggiata anche se gli obiettivi individuali ne risentono.
LT1	important5	Gestione attenta del denaro (Risparmio)
LT2	important5	Andare avanti con determinazione nonostante l'opposizione (Perseveranza)
LT3	important5	Costanza e stabilità personali
LT4	important5	Pianificazione a lungo termine
LT5	important5	Rinunciare al divertimento di oggi per il successo futuro
LT6	important5	Lavorare sodo per il successo futuro
MA1	disagree5	Per gli uomini è più importante avere una carriera professionale che per le donne.
MA2	disagree5	Gli uomini di solito risolvono i problemi con l'analisi logica; le donne di solito risolvono i problemi con l'intuizione.
MA3	disagree5	Risolvere problemi difficili richiede di solito un approccio attivo ed energico, tipico degli uomini.
MA4	disagree5	Ci sono alcuni lavori che un uomo può sempre fare meglio di una donna.
