Item	Scale	Content
PO1	disagree5	Mensen in hogere posities zouden de meeste beslissingen moeten nemen zonder mensen in lagere posities te raadplegen.
PO2	disagree5	Mensen in hogere posities zouden niet te vaak naar de mening van mensen in lagere posities moeten vragen.
PO3	disagree5	Mensen in hogere posities zouden sociale omgang met mensen in lagere posities moeten vermijden.
PO4	disagree5	Mensen in lagere posities zouden het niet oneens moeten zijn met beslissingen van mensen in hogere posities.
PO5	disagree5	Mensen in hogere posities zouden belangrijke taken niet moeten delegeren aan mensen in lagere posities.
UN1	disagree5	Het is belangrijk dat instructies tot in detail zijn uitgewerkt, zodat ik altijd weet wat er van mij wordt verwacht.
UN2	disagree5	Het is belangrijk om instructies en procedures nauwgezet op te volgen.
UN3	disagree5	Regels en voorschriften zijn belangrijk omdat ze mij informeren over wat er van mij wordt verwacht.
UN4	disagree5	Gestandaardiseerde werkprocedures zijn nuttig.
UN5	disagree5	Instructies voor werkzaamheden zijn belangrijk.
CO1	disagree5	Individuen zouden hun eigenbelang moeten opofferen voor de groep.
CO2	disagree5	Individuen zouden bij de groep moeten blijven, ook in moeilijke tijden.
CO3	disagree5	Het welzijn van de groep is belangrijker dan individuele beloningen.
CO4	disagree5	Het succes van de groep is belangrijker dan individueel succes.
CO5	disagree5	Individuen zouden hun doelen pas moeten nastreven nadat ze het welzijn van de groep in overweging hebben genomen.
CO6	disagree5	Groepsloyaliteit zou moeten worden aangemoedigd, ook als individuele doelen daaronder lijden.
LT1	important5	Zorgvuldig omgaan met geld (Spaarzaamheid)
LT2	important5	Vastberaden doorgaan ondanks tegenstand (Volharding)
LT3	important5	Persoonlijke standvastigheid en stabiliteit
LT4	important5	Langetermijnplanning
LT5	important5	Het plezier van vandaag opgeven voor succes in de toekomst
LT6	important5	Hard werken voor succes in de toekomst
MA1	disagree5	Het is voor mannen belangrijker om een professionele carrière te hebben dan voor vrouwen.
MA2	disagree5	Mannen lossen problemen meestal op met logische analyse; vrouwen lossen problemen meestal op met intuïtie.
MA3	disagree5	Het oplossen van moeilijke problemen vereist meestal een actieve, krachtdadige aanpak, die typisch is voor mannen.
MA4	disagree5	Er zijn bepaalde taken die een man altijd beter kan uitvoeren dan een vrouw.
