Item	Scale	Content
PO1	disagree5	People in higher positions should make most decisions without consulting people in lower positions.
PO2	disagree5	People in higher positions should not ask the opinions of people in lower positions too frequently.
PO3	disagree5	People in higher positions should avoid social interaction with people in lower positions.
PO4	disagree5	People in lower positions should not disagree with decisions by people in higher positions.
PO5	disagree5	People in higher positions should not delegate important tasks to people in lower positions.
UN1	disagree5	It is important to have instructions spelled out in detail so that I always know what I'm expected to do.
UN2	disagree5	It is important to closely follow instructions and procedures.
UN3	disagree5	Rules and regulations are important because they inform me of what is expected of me.
UN4	disagree5	Standardized work procedures are helpful.
UN5	disagree5	Instructions for operations are important.
CO1	disagree5	Individuals should sacrifice self-interest for the group.
CO2	disagree5	Individuals should stick with the group even through difficulties.
CO3	disagree5	Group welfare is more important than individual rewards.
CO4	disagree5	Group success is more important than individual success.
CO5	disagree5	Individuals should only pursue their goals after considering the welfare of the group.
CO6	disagree5	Group loyalty should be encouraged even if individual goals suffer.
LT1	important5	Careful management of money (Thrift)
LT2	important5	Going on resolutely in spite of opposition (Persistence)
LT3	important5	Personal steadiness and stability
LT4	important5	Long-term planning
LT5	important5	Giving up today's fun for success in the future
LT6	important5	Working hard for success in the future
MA1	disagree5	It is more important for men to have a professional career than it is for women.
MA2	disagree5	Men usually solve problems with logical analysis; women usually solve problems with intuition.
MA3	disagree5	Solving difficult problems usually requires an active, forcible approach, which is typical of men.
MA4	disagree5	There are some jobs that a man can always do better than a woman.
