Item	Scale	Content
PO1	disagree5	Lidé na vyšších pozicích by měli většinu rozhodnutí činit bez konzultace s lidmi na nižších pozicích.
PO2	disagree5	Lidé na vyšších pozicích by se neměli příliš často ptát na názory lidí na nižších pozicích.
PO3	disagree5	Lidé na vyšších pozicích by se měli vyhýbat společenským kontaktům s lidmi na nižších pozicích.
PO4	disagree5	Lidé na nižších pozicích by neměli nesouhlasit s rozhodnutími lidí na vyšších pozicích.
PO5	disagree5	Lidé na vyšších pozicích by neměli delegovat důležité úkoly na lidi na nižších pozicích.
UN1	disagree5	Je důležité mít podrobně rozepsané pokyny, díky čemuž vždy vím, co se ode mě očekává.
UN2	disagree5	Je důležité přesně dodržovat pokyny a postupy.
UN3	disagree5	Pravidla a předpisy jsou důležité, protože mě informují o tom, co se ode mě očekává.
UN4	disagree5	Standardizované pracovní postupy jsou užitečné.
UN5	disagree5	Pokyny pro pracovní činnosti jsou důležité.
CO1	disagree5	Jednotlivci by měli obětovat vlastní zájmy ve prospěch skupiny.
CO2	disagree5	Jednotlivci by se měli držet skupiny i v těžkých časech.
CO3	disagree5	Dobro skupiny je důležitější než individuální odměny.
CO4	disagree5	Úspěch skupiny je důležitější než individuální úspěch.
CO5	disagree5	Jednotlivci by měli usilovat o své cíle až poté, co vezmou v úvahu dobro skupiny.
CO6	disagree5	Loajalita ke skupině by měla být podporována, i když tím trpí individuální cíle.
LT1	important5	Pečlivé hospodaření s penězi (šetrnost)
LT2	important5	Odhodlané pokračování navzdory odporu (vytrvalost)
LT3	important5	Osobní stálost a stabilita
LT4	important5	Dlouhodobé plánování
LT5	important5	Vzdání se dnešní zábavy pro budoucí úspěch
LT6	important5	Tvrdá práce pro budoucí úspěch
MA1	disagree5	Mít profesní kariéru je důležitější pro muže než pro ženy.
MA2	disagree5	Muži obvykle řeší problémy pomocí logické analýzy; ženy obvykle řeší problémy pomocí intuice.
MA3	disagree5	Řešení obtížných problémů obvykle vyžaduje aktivní, razantní přístup, který je typický pro muže.
MA4	disagree5	Existují práce, které muž vždy zvládne lépe než žena.
