Item	Scale	Content
PO1	disagree5	As pessoas em posições superiores deveriam tomar a maioria das decisões sem consultar as pessoas em posições inferiores.
PO2	disagree5	As pessoas em posições superiores não deveriam pedir a opinião das pessoas em posições inferiores com demasiada frequência.
PO3	disagree5	As pessoas em posições superiores deveriam evitar a interação social com as pessoas em posições inferiores.
PO4	disagree5	As pessoas em posições inferiores não deveriam discordar das decisões das pessoas em posições superiores.
PO5	disagree5	As pessoas em posições superiores não deveriam delegar tarefas importantes às pessoas em posições inferiores.
UN1	disagree5	É importante que as instruções estejam detalhadas para que eu saiba sempre o que se espera de mim.
UN2	disagree5	É importante seguir de perto as instruções e os procedimentos.
UN3	disagree5	As regras e os regulamentos são importantes porque me esclarecem o que se espera de mim.
UN4	disagree5	Os procedimentos de trabalho padronizados são úteis.
UN5	disagree5	As instruções para as operações são importantes.
CO1	disagree5	Os indivíduos deveriam sacrificar o interesse próprio em favor do grupo.
CO2	disagree5	Os indivíduos deveriam permanecer com o grupo mesmo nas dificuldades.
CO3	disagree5	O bem-estar do grupo é mais importante do que as recompensas individuais.
CO4	disagree5	O sucesso do grupo é mais importante do que o sucesso individual.
CO5	disagree5	Os indivíduos só deveriam perseguir os seus objetivos depois de considerar o bem-estar do grupo.
CO6	disagree5	A lealdade ao grupo deveria ser incentivada mesmo que os objetivos individuais sejam prejudicados.
LT1	important5	Gestão cuidadosa do dinheiro (Poupança)
LT2	important5	Prosseguir com firmeza apesar da oposição (Persistência)
LT3	important5	Constância e estabilidade pessoais
LT4	important5	Planeamento a longo prazo
LT5	important5	Renunciar à diversão de hoje pelo sucesso no futuro
LT6	important5	Trabalhar arduamente pelo sucesso no futuro
MA1	disagree5	É mais importante para os homens ter uma carreira profissional do que para as mulheres.
MA2	disagree5	Os homens costumam resolver os problemas com análise lógica; as mulheres costumam resolver os problemas com intuição.
MA3	disagree5	Resolver problemas difíceis costuma exigir uma abordagem ativa e enérgica, que é típica dos homens.
MA4	disagree5	Há alguns trabalhos que um homem consegue sempre fazer melhor do que uma mulher.
