Item	Scale	Content
PO1	disagree5	উচ্চপদস্থ ব্যক্তিদের অধিকাংশ সিদ্ধান্ত নিম্নপদস্থ ব্যক্তিদের সঙ্গে পরামর্শ না করেই নেওয়া উচিত।
PO2	disagree5	উচ্চপদস্থ ব্যক্তিদের নিম্নপদস্থ ব্যক্তিদের মতামত খুব বেশি বার জিজ্ঞাসা করা উচিত নয়।
PO3	disagree5	উচ্চপদস্থ ব্যক্তিদের নিম্নপদস্থ ব্যক্তিদের সঙ্গে সামাজিক মেলামেশা এড়িয়ে চলা উচিত।
PO4	disagree5	নিম্নপদস্থ ব্যক্তিদের উচ্চপদস্থ ব্যক্তিদের সিদ্ধান্তের সঙ্গে দ্বিমত পোষণ করা উচিত নয়।
PO5	disagree5	উচ্চপদস্থ ব্যক্তিদের গুরুত্বপূর্ণ কাজ নিম্নপদস্থ ব্যক্তিদের উপর অর্পণ করা উচিত নয়।
UN1	disagree5	নির্দেশনা বিশদভাবে দেওয়া থাকা গুরুত্বপূর্ণ, যাতে আমার কাছ থেকে কী প্রত্যাশিত তা আমি সবসময় জানতে পারি।
UN2	disagree5	নির্দেশনা ও পদ্ধতি নিবিড়ভাবে অনুসরণ করা গুরুত্বপূর্ণ।
UN3	disagree5	নিয়মকানুন গুরুত্বপূর্ণ, কারণ সেগুলি আমাকে জানায় আমার কাছ থেকে কী প্রত্যাশিত।
UN4	disagree5	মানসম্মত কর্মপদ্ধতি সহায়ক।
UN5	disagree5	কার্যপরিচালনার জন্য নির্দেশনা গুরুত্বপূর্ণ।
CO1	disagree5	ব্যক্তির উচিত গোষ্ঠীর জন্য নিজের স্বার্থ ত্যাগ করা।
CO2	disagree5	ব্যক্তির উচিত কঠিন সময়েও গোষ্ঠীর সঙ্গে থেকে যাওয়া।
CO3	disagree5	ব্যক্তিগত পুরস্কারের চেয়ে গোষ্ঠীর কল্যাণ বেশি গুরুত্বপূর্ণ।
CO4	disagree5	ব্যক্তিগত সাফল্যের চেয়ে গোষ্ঠীর সাফল্য বেশি গুরুত্বপূর্ণ।
CO5	disagree5	ব্যক্তির উচিত গোষ্ঠীর কল্যাণ বিবেচনা করার পরেই নিজের লক্ষ্য অর্জনের চেষ্টা করা।
CO6	disagree5	ব্যক্তিগত লক্ষ্য ক্ষতিগ্রস্ত হলেও গোষ্ঠীর প্রতি আনুগত্যকে উৎসাহিত করা উচিত।
LT1	important5	অর্থের সতর্ক পরিচালনা (মিতব্যয়িতা)
LT2	important5	বিরোধিতা সত্ত্বেও দৃঢ়ভাবে এগিয়ে চলা (অধ্যবসায়)
LT3	important5	ব্যক্তিগত স্থিরতা ও স্থায়িত্ব
LT4	important5	দীর্ঘমেয়াদি পরিকল্পনা
LT5	important5	ভবিষ্যতের সাফল্যের জন্য আজকের আনন্দ ছেড়ে দেওয়া
LT6	important5	ভবিষ্যতের সাফল্যের জন্য কঠোর পরিশ্রম করা
MA1	disagree5	পুরুষদের জন্য পেশাগত কর্মজীবন থাকা নারীদের তুলনায় বেশি গুরুত্বপূর্ণ।
MA2	disagree5	পুরুষেরা সাধারণত যুক্তিসংগত বিশ্লেষণের মাধ্যমে সমস্যা সমাধান করে; নারীরা সাধারণত স্বজ্ঞার মাধ্যমে সমস্যা সমাধান করে।
MA3	disagree5	কঠিন সমস্যা সমাধানে সাধারণত একটি সক্রিয় ও জোরালো পন্থা প্রয়োজন, যা পুরুষদের বৈশিষ্ট্য।
MA4	disagree5	এমন কিছু কাজ আছে যা একজন পুরুষ সবসময় একজন নারীর চেয়ে ভালোভাবে করতে পারে।
