Item	Scale	Content
PO1	disagree5	Người ở vị trí cao hơn nên đưa ra hầu hết các quyết định mà không tham khảo ý kiến của người ở vị trí thấp hơn.
PO2	disagree5	Người ở vị trí cao hơn không nên hỏi ý kiến của người ở vị trí thấp hơn quá thường xuyên.
PO3	disagree5	Người ở vị trí cao hơn nên tránh tương tác xã hội với người ở vị trí thấp hơn.
PO4	disagree5	Người ở vị trí thấp hơn không nên phản đối các quyết định của người ở vị trí cao hơn.
PO5	disagree5	Người ở vị trí cao hơn không nên giao những nhiệm vụ quan trọng cho người ở vị trí thấp hơn.
UN1	disagree5	Điều quan trọng là các hướng dẫn phải được trình bày chi tiết để tôi luôn biết mình được kỳ vọng phải làm gì.
UN2	disagree5	Điều quan trọng là phải tuân thủ chặt chẽ các hướng dẫn và quy trình.
UN3	disagree5	Các quy tắc và quy định rất quan trọng vì chúng cho tôi biết điều gì được kỳ vọng ở tôi.
UN4	disagree5	Các quy trình làm việc được chuẩn hóa là hữu ích.
UN5	disagree5	Các hướng dẫn vận hành rất quan trọng.
CO1	disagree5	Cá nhân nên hy sinh lợi ích riêng vì tập thể.
CO2	disagree5	Cá nhân nên gắn bó với tập thể ngay cả khi gặp khó khăn.
CO3	disagree5	Phúc lợi của tập thể quan trọng hơn phần thưởng của cá nhân.
CO4	disagree5	Thành công của tập thể quan trọng hơn thành công của cá nhân.
CO5	disagree5	Cá nhân chỉ nên theo đuổi mục tiêu của mình sau khi đã cân nhắc đến phúc lợi của tập thể.
CO6	disagree5	Nên khuyến khích lòng trung thành với tập thể ngay cả khi mục tiêu của cá nhân bị cản trở.
LT1	important5	Quản lý tiền bạc một cách cẩn thận (Tiết kiệm)
LT2	important5	Kiên quyết tiến bước bất chấp sự phản đối (Kiên trì)
LT3	important5	Sự vững vàng và ổn định của cá nhân
LT4	important5	Lập kế hoạch dài hạn
LT5	important5	Từ bỏ niềm vui hôm nay để đạt được thành công trong tương lai
LT6	important5	Làm việc chăm chỉ để đạt được thành công trong tương lai
MA1	disagree5	Việc có một sự nghiệp chuyên môn quan trọng đối với nam giới hơn là đối với nữ giới.
MA2	disagree5	Nam giới thường giải quyết vấn đề bằng phân tích logic; nữ giới thường giải quyết vấn đề bằng trực giác.
MA3	disagree5	Việc giải quyết những vấn đề khó khăn thường đòi hỏi một cách tiếp cận chủ động và mạnh mẽ, vốn là điển hình của nam giới.
MA4	disagree5	Có một số công việc mà nam giới luôn có thể làm tốt hơn nữ giới.
