Item	Scale	Content
PO1	disagree5	Osoby na wyższych stanowiskach powinny podejmować większość decyzji bez konsultowania się z osobami na niższych stanowiskach.
PO2	disagree5	Osoby na wyższych stanowiskach nie powinny zbyt często pytać o opinię osób na niższych stanowiskach.
PO3	disagree5	Osoby na wyższych stanowiskach powinny unikać kontaktów towarzyskich z osobami na niższych stanowiskach.
PO4	disagree5	Osoby na niższych stanowiskach nie powinny kwestionować decyzji osób na wyższych stanowiskach.
PO5	disagree5	Osoby na wyższych stanowiskach nie powinny powierzać ważnych zadań osobom na niższych stanowiskach.
UN1	disagree5	Ważne jest, aby instrukcje były szczegółowo rozpisane, dzięki czemu zawsze wiem, czego się ode mnie oczekuje.
UN2	disagree5	Ważne jest, aby ściśle przestrzegać instrukcji i procedur.
UN3	disagree5	Zasady i przepisy są ważne, ponieważ informują mnie o tym, czego się ode mnie oczekuje.
UN4	disagree5	Standaryzowane procedury pracy są pomocne.
UN5	disagree5	Instrukcje dotyczące wykonywania czynności są ważne.
CO1	disagree5	Jednostki powinny poświęcać własny interes na rzecz grupy.
CO2	disagree5	Jednostki powinny trzymać się grupy nawet w trudnych chwilach.
CO3	disagree5	Dobro grupy jest ważniejsze niż indywidualne nagrody.
CO4	disagree5	Sukces grupy jest ważniejszy niż sukces indywidualny.
CO5	disagree5	Jednostki powinny dążyć do swoich celów dopiero po uwzględnieniu dobra grupy.
CO6	disagree5	Należy zachęcać do lojalności wobec grupy, nawet jeśli cierpią na tym cele indywidualne.
LT1	important5	Rozważne gospodarowanie pieniędzmi (oszczędność)
LT2	important5	Zdecydowane kontynuowanie działań mimo oporu (wytrwałość)
LT3	important5	Osobista stałość i stabilność
LT4	important5	Planowanie długoterminowe
LT5	important5	Rezygnacja z dzisiejszych przyjemności dla przyszłego sukcesu
LT6	important5	Ciężka praca dla przyszłego sukcesu
MA1	disagree5	Posiadanie kariery zawodowej jest ważniejsze dla mężczyzn niż dla kobiet.
MA2	disagree5	Mężczyźni zazwyczaj rozwiązują problemy za pomocą analizy logicznej; kobiety zazwyczaj rozwiązują problemy za pomocą intuicji.
MA3	disagree5	Rozwiązywanie trudnych problemów zazwyczaj wymaga aktywnego, stanowczego podejścia, które jest typowe dla mężczyzn.
MA4	disagree5	Są pewne prace, które mężczyzna zawsze wykona lepiej niż kobieta.
