Item	Scale	Content
PO1	disagree5	地位の高い人は、地位の低い人に相談せずにほとんどの決定を下すべきである。
PO2	disagree5	地位の高い人は、地位の低い人の意見をあまり頻繁に尋ねるべきではない。
PO3	disagree5	地位の高い人は、地位の低い人との社会的な交流を避けるべきである。
PO4	disagree5	地位の低い人は、地位の高い人が下した決定に異議を唱えるべきではない。
PO5	disagree5	地位の高い人は、重要な仕事を地位の低い人に任せるべきではない。
UN1	disagree5	自分に何が期待されているかを常に把握できるように、指示が詳細に示されていることは重要である。
UN2	disagree5	指示や手順を忠実に守ることは重要である。
UN3	disagree5	規則や規定は、自分に何が期待されているかを教えてくれるので重要である。
UN4	disagree5	標準化された作業手順は役に立つ。
UN5	disagree5	業務に関する指示は重要である。
CO1	disagree5	個人は集団のために自己の利益を犠牲にするべきである。
CO2	disagree5	個人は困難なときでも集団にとどまるべきである。
CO3	disagree5	集団の福利は個人への報酬よりも重要である。
CO4	disagree5	集団の成功は個人の成功よりも重要である。
CO5	disagree5	個人は集団の福利を考慮したうえで初めて自分の目標を追求するべきである。
CO6	disagree5	個人の目標が犠牲になるとしても、集団への忠誠は奨励されるべきである。
LT1	important5	金銭の慎重な管理（倹約）
LT2	important5	反対にあっても断固として進み続けること（粘り強さ）
LT3	important5	個人としての着実さと安定性
LT4	important5	長期的な計画
LT5	important5	将来の成功のために今日の楽しみを諦めること
LT6	important5	将来の成功のために努力すること
MA1	disagree5	職業上のキャリアを持つことは、女性よりも男性にとって重要である。
MA2	disagree5	男性はたいてい論理的な分析で問題を解決し、女性はたいてい直感で問題を解決する。
MA3	disagree5	難しい問題を解決するには、たいてい積極的で力強い取り組み方が必要であり、それは男性に典型的である。
MA4	disagree5	男性が女性よりも常にうまくこなせる仕事もある。
