Item	Scale	Content
PO1	disagree5	职位较高的人应当在不征询职位较低的人意见的情况下做出大多数决定。
PO2	disagree5	职位较高的人不应过于频繁地征询职位较低的人的意见。
PO3	disagree5	职位较高的人应当避免与职位较低的人进行社交往来。
PO4	disagree5	职位较低的人不应对职位较高的人所做的决定表示异议。
PO5	disagree5	职位较高的人不应将重要任务委派给职位较低的人。
UN1	disagree5	把指示详尽地列明是很重要的，这样我就能始终清楚别人对我的期望。
UN2	disagree5	严格遵循指示和流程是很重要的。
UN3	disagree5	规章制度很重要，因为它们让我了解别人对我的期望。
UN4	disagree5	标准化的工作流程是有帮助的。
UN5	disagree5	操作指示很重要。
CO1	disagree5	个人应当为了集体而牺牲自身利益。
CO2	disagree5	个人即使遇到困难也应当继续留在集体中。
CO3	disagree5	集体的福祉比个人的回报更重要。
CO4	disagree5	集体的成功比个人的成功更重要。
CO5	disagree5	个人应当在考虑集体福祉之后才去追求自己的目标。
CO6	disagree5	即使个人目标会因此受损，也应当鼓励对集体的忠诚。
LT1	important5	谨慎地理财（节俭）
LT2	important5	不顾反对仍坚定地继续下去（坚持不懈）
LT3	important5	个人的稳重与稳定
LT4	important5	长期规划
LT5	important5	为了未来的成功而放弃今天的享乐
LT6	important5	为了未来的成功而努力工作
MA1	disagree5	对男性来说，拥有职业生涯比对女性来说更重要。
MA2	disagree5	男性通常通过逻辑分析来解决问题；女性通常凭直觉来解决问题。
MA3	disagree5	解决困难问题通常需要一种主动而强有力的方式，而这正是男性的典型特点。
MA4	disagree5	有些工作，男性总是能比女性做得更好。
